行,取引先名,法人番号,採用値_億円,金額の出所,余裕率,G列,I列
1994,群馬県卸酒販株式会社,8070001000877,308.55,G列,2.9,"308億5,500万円（2025年度・単体）","○ 妥当（2次検証・数値は再現できず／結論は維持）：会社概要ページ https://www.g-shuhan.co.jp/overview/ は実在するが、追加3回の検索でも本文の308億5,500万円／グループ366億6,000万円を再現できなかった。ただし別検索で「2024年3月実績 売上高312億7,000万円」が出ており、年商310億前後という規模感は裏付けられる。300億を下回る数値はど"
14,エフピコ商事株式会社,1240001030013,309.0,G列,3.0,309億円（2025年3月期・単体）,"○ 妥当：自社ドメイン内の採用ページ「数字で見るエフピコ商事」（承認ソース系統⑨）に「売上高 309億円（2025年3月期）」と記載されているのを確認でき、G列と一致。同ページの従業員数が「2026年1月時点189名」と最新のため、2025年3月期が現時点の最新公表値と判断でき§3-8も満たす。エフピコの子会社だが単体309億円で300億以上のため§3-3をクリアしており、親の連結値2,221億円"
481,株式会社日本アメニティライフ協会,2020001007809,309.23,I列(訂正),3.1,309.2342億円（2025年3月期・連結）,"○ 妥当（G列訂正：G列309.2342億円（2024/4/1〜2025/3/31・連結）を承認ソースで再現できない。H列が出典とする自社HP『会社情報』(jala.co.jp/aboutus)から取得できる連結売上高は237億2,946万円（令和4年4月1日〜令和5年3月31日）で、(1)300億円未満、(2)2023年3月期＝直近3期外で§3-8の鮮度切れ、の二重の問題がある。自社ドメインの決"
1592,日泉化学株式会社,2500001009665,310.0,G列,3.3,310億円（2026年1月末・単体）,"○ 妥当（ただし単体は基準ぎりぎり・運用は連結値推奨）：自社HP会社概要で単独売上高305〜310億円、連結売上高553〜554億円を確認（サイト表記が「○年1月末現在」で期の切り方が年により揺れる）。連結従業員1,663名に対し単独324名で連結子会社を持つ親会社のため、連結553〜554億円で基準充足（§3-3）。単体値は300億に対し余裕が5〜10億円しかなく、単年の変動で反転しうるため、単"
1632,株式会社エムオーテック,3010401095107,310.0,G列,3.3,310億円（2025年3月期・単体）,○ 妥当：2025年3月期売上高310億488万7千円・従業員308名を確認。メタルワン子会社だが単体310億で300億以上（グループ連結の当て込みではない）。自社ドメインの会社概要・採用サイトは承認ソース（§5-3-9）。ただし基準超過が約3%と薄いため、最新2026年3月期での再確認が望ましい。
523,株式会社セキチュー,3070001008818,310.19,G列,3.4,310.19億円（2026年2月期・単体）,○ 妥当：東証9976・親会社（非連結）。2026年2月期決算短信（2026年3月25日）で売上高310.19億円（営業収益318.67億円、前期比1.2%増）を確認。§3-7に従い売上高310.19億円の採用は妥当。300億円ラインまでの余裕が10億円程度と薄いため、翌期の減収時は再判定が必要。
2132,ネッツトヨタ静岡株式会社,6080101001529,312.0,I列(訂正),4.0,316億円（2025年度・単体）,"○ 妥当（G列訂正：正しくは312億円〈2025年3月期・単体〉。1次の316億円は再現できず）。反証検索で自社HP会社概要（netz-shizuoka.net/company）由来の数表が「売上高312億円（2025年3月実績）／従業員473名（2025年3月現在）／資本金4億9,000万円／決算期3月／本社 静岡県沼津市本丸子町752-6」として整合的に再現された。一方、1次値316億円をシー"
1149,日本コンクリート工業株式会社,8010401022551,313.43,G列,4.5,313.43億円（2026年3月期・単体）,"○ 妥当：東証上場の親会社（コード5269、法人番号8010401022551一致）。EDINET有価証券報告書の単体売上高31,342,743千円＝313.43億円（2026年3月期）で桁検算一致（§6-1）。単体は基準比わずか+4.5%と極めて薄いが、親会社のため連結採用可（§3-3）で、自社IR 2026年3月期決算短信の連結売上高は492億3,300万円（前期比6.5%減）。連結ベースで基"
2750,愛媛製紙株式会社,5500001014225,314.0,G列,4.7,314億円（2025年9月期・単体）,○ 妥当（親子判定の注記）：2025年9月期・単体314億円（従業員234名）を再現、法人番号5500001014225もgBizINFOと一致。ただし同社はカミ商事株式会社を親会社とするカミグループの子会社であるため§3-3により連結値は使えず、単体314億円のみが根拠。単体で300億を超えているためOKだが基準超過は14億円しかなく、次期の減収で反転しうる最薄行。同ブロック行2754（カミ商事
2839,株式会社土屋ホールディングス,7430001010659,314.56,G列,4.9,314.56億円（2025年10月期・連結）,"○ 妥当：自社IR掲載の2025年10月期決算短信（2025/12/15開示）で連結売上高31,456百万円＝314.56億円を再確認。持株会社のため§3-3で連結値OK。ただし前期比5.5%減・営業損益は赤字で、基準300億円との差は約14.6億円（+4.9%）しかない。2026年10月期で基準割れの可能性がある要監視行。"
1047,九州西濃運輸株式会社,9290001052202,314.57,G列,4.9,314.57億円（2026年3月期・単体・営業収益）,"○ 妥当（据置／本ブロックで最も余裕が薄く、数値の直接確認は未達）：3クエリを投じたが反証できず。決算公告ページ（seino.co.jp公式ドメイン＝承認ソース§5-3-5）に第16期の貸借対照表・損益計算書が実在することを確認。既存公告が/koukoku/20130628-01.pdfという命名で、H列の/koukoku/20260612-01.pdfと同一体系のためURLは実在と判断。31,3"
1594,日昌株式会社,2120001068527,315.0,G列,5.0,315億円（2026年3月期・単体）,"○ 妥当：日東電工100%子会社だが、単体の2026年3月期売上高315億5,100万円（≒315億円）を確認。§3-3の「子会社は単体300億以上のみOK」を満たす。連結601億は判定に使わず単体を採用しており処理も正しい。ただし300億のボーダー近傍かつ自社HP会社概要の本文取得までは至らず、次期更新時に掲載値の再確認を推奨。"
1230,前澤給装工業株式会社,8013201005478,316.83,G列,5.6,316.83億円（2026年3月期・単体）,"○ 妥当：2026年3月期決算短信〔日本基準〕（非連結、2026年5月13日開示）で売上高316億8,300万円（前期比0.1％増）、営業利益27億2,700万円、経常利益29億8,200万円を再現確認。31,683百万円＝316.83億円で桁検算一致（§6-1）。東証6485の上場企業・非連結（単体）値で親子問題なし。株式会社。ただし採用値が450億円未満で300億基準に対する余裕は16.8億円"
1525,株式会社森本組,7120001106637,317.4,I列(訂正),5.8,317.40億円（2026年3月期・単体）,"○ 妥当（G列訂正：大豊建設の完全子会社で単体判定は正しく300億超も維持（○維持）。ただしG列317.40億円（2026年3月期）は親会社決算短信の記載として再確認できず（大豊建設2026年3月期は連結1,398.18億円で子会社別売上の開示を確認できない）。自社HP業績ハイライトでは売上高389億円（令和7年3月期）。G列は自社HP値へ差し替えを推奨。"
1749,株式会社ＪＴＣ,9320001006914,317.49,G列,5.8,317.49億円（2026年2月期・単体）,"○ 妥当（反証試行したが決着せず・要注意）：JTCのIRには業績ハイライト（IFRS連結 highlight.html／IFRS単体 highlight2.html）が存在するが、4クエリ試しても売上収益の実数を取得できず、317.49億円を独立に再現できなかった。根拠は依然gBizINFO（EDINET）提出会社売上高31,749百万円の単一ソースのみ。JTCは韓国KOSDAQ上場（2018/4"
3542,福岡県魚市場株式会社,8290001009905,317.81,G列,5.9,317.81億円（2025年度・単体）,"○ 妥当（要注記）：自社会社概要で令和7年度317億8,100万円（令和6年度312億202万円・令和5年度311億2,277万円）を独立に再確認、G列と一致し不連続もない。法人番号8290001009905で照合済（株式会社福岡魚市場8290001009888・福岡中央魚市場とは別法人）。ただし①この値は水産物卸売市場の取扱高ベースで、収益認識基準の純額表示に切替えた場合の損益計算書上の売上高と"
3691,株式会社フジオフードグループ本社,2120001093715,319.32,G列,6.4,319.32億円（2025年12月期・連結）,"○ 妥当：2026年2月13日開示の2025年12月期決算短信〔日本基準〕（連結）で連結売上高31,932百万円＝319.32億円（前期比1.9%増）を確認。桁検算：31,932百万円＝319.32億円で正。上場グループ本社（親会社）のため§3-3により連結値採用でOK。決算期は直近（§3-8）。300億に対し19億円の余裕しかないため、次期に減収があれば条件割れの可能性あり。"
3835,株式会社豊群インターナショナル,2080001009122,320.0,G列,6.7,320億円（2025年12月期・単体）,○ 妥当：台湾・豊群水産股份有限公司100%子会社だが、自社HP会社概要で当社単体の2025年12月期売上高320億円を確認（資本金1億円・従業員19名の冷凍鰹鮪トレーディング）。§3-3の子会社単体300億以上を満たし、親会社のグループ値ではない。300億のボーダー近傍のため次期更新時に再確認を推奨。
1284,株式会社伊予鉄高島屋,2500001000475,320.03,G列,6.7,320.03億円（2025年度・単体）,"○ 妥当：自社HP会社概要で2025年度売上高32,003百万円＝320.03億円を再現確認。伊予鉄グループ(株)の子会社だが単体で300億超のため§3-3上OK。ただし基準300億に対し余裕約20億のみで、次期の減収で反転しうる薄マージン行。従業員322名（2026年4月1日現在）でサイトは更新済み。"
476,株式会社松竹マルチプレックスシアターズ,2010001046023,320.92,G列,7.0,320.92億円（2026年2月期・単体）,○ 妥当（薄い）：株式会社。松竹の子会社だが単体320.92億円（2026年2月期・第30期、前期比30.4%増、営業利益20.92億円）を確認。子会社単体で300億超のため§3-3の要件を満たす。ただし超過幅は約7%と薄く、翌期に興行が落ちれば割れる水準。なお今回の裏取りは業界ニュース（gamebiz）経由で、H列が挙げる松竹有報『主要な損益情報等』の原本URLは未到達のため、出典URLは松竹I
748,株式会社ＦＰパートナー,8010001129227,321.04,I列(訂正),7.0,321.04億円（最新有報・単体）,"○ 妥当（G列訂正：「最新有報」ではなく2025年11月期・単体（非連結決算）と明記すべき）：2025年11月期決算短信〔日本基準〕(非連結)で売上高321億400万円＝321.04億円（前期比▲9.9%）を確認し、G列数値32,104,060千円＝321.04億円と一致。上場会社・非連結決算のため単体で判定し300億超。ただし基準超過は約7%と薄く、業務改善命令に伴う集客停止で減収基調のため、2"
1687,共立印刷株式会社,2011401001699,321.78,G列,7.3,"321億7,765万円（2026年3月期・単体）","○ 妥当（重要訂正・親子判定）：共立印刷は2022/9/29に上場廃止、株式会社KYORITSU（7795・東証スタンダード）の完全子会社（2022/10/1株式交換でHD体制移行）。1次は親子関係を認識していなかった。§3-3の子会社ルール適用によりグループ連結は使用不可で、KYORITSU連結429億円（2026年3月期）は根拠にできない。採用可能なのは自社HP会社概要の321億7,765万円"
248,株式会社オイシス,6140001015952,322.0,G列,7.3,322億円（2025年3月期）,○ 妥当（要注意行）：自社HP会社概要（承認ソース）で「売上高322億円（2025年3月実績）」を確認。ドメイン限定検索でも同一値を再現。株式会社のため法人格OK、同社は独立事業会社で連結値の流用ではない。ただし採用値322億円は基準300億に対し余裕が約7%しかなく、期ずれ・会計基準差で下回るリスクがある最要注意行。2026年3月期の最新値はHP未更新で、判定を維持するには次期公表値の追跡が必要
2073,ジェイアール東海建設株式会社,3180001030538,322.0,G列,7.3,322億円（2025年度・単体）,○ 妥当：JR東海100%子会社だが、自社HP（jken.co.jpドメイン限定検索で再現）に令和7年度の売上高322億円の記載を確認でき、G列の322億円（2025年度・単体）と一致。§3-3の子会社基準（単体300億以上）を満たすため架電可。令和7年度＝2025年度（2026年3月期）で§3-8の鮮度も満たす。昭和63年設立、愛知県名古屋市中村区、鉄道関連の土木・建築を主とする総合建設会社で対
385,アイシン開発株式会社,1180301013657,322.31,I列(訂正),7.4,337.81億円（2025年3月期・連結）,○ 妥当（G列訂正：アイシン(株)の子会社のため判定値は単体322.31億円（2025年3月期）。G列の337.81億円はアイシン開発自身の連結値）。単体でも300億超のため架電可。ただし300億まで22億円しか余裕がなく、2026年3月期の更新値は自社HP・親会社IRとも未確認。
1175,株式会社ヒラノテクシード,9150001013309,322.85,G列,7.6,322.85億円（2026年3月期・連結）,"○ 妥当：自社IRの2026年3月期決算短信（2026/5/12公表）で連結売上高32,285,374千円＝32,285百万円＝322.85億円を再現確認。千円単位からの桁検算一致。東証上場の親会社のため連結値の採用は§3-3で可。■強い注意：採用値322.85億円は基準300億に対し余裕わずか7.6%で、かつ前期比33.2%の大幅減収（北米EV市場減速で主要顧客の設備投資が延期）。次期は300億"
1128,ニデックプレシジョン株式会社,9011401007178,322.95,G列,7.6,322.95億円（2025年3月期・単体）,"○ 妥当（再検証で数値再現・1次の懸念は解消）：ニデック100%子会社のため単体値が必須。官報決算公告で第88期（2024年3月期）売上高267億8,300万円→決算末日2025年3月31日の売上高322億9,500万円（前年比+20.58%）を再取得でき、1次のgBizINFO値32,295百万円＝322.95億円と完全一致。267.83×1.2058≒322.95で桁検算も一致（§6-1）、法"
1945,株式会社なの花北海道,1430001005219,323.88,G列,8.0,323.88億円（2025年3月期・単体）,"○ 妥当：親会社メディカルシステムネットワーク（4350・札幌／北海道財務局提出）の有報「関係会社の状況＝主要な損益情報等」から子会社単体を採ったルートは§5-3-6の正攻法。単体2024年3月期31,435百万円＝314.35億円を独立に確認でき、翌期323.88億円は連続性がある。いずれの期でも単体300億超で子会社要件（§3-3）を満たす。ただしH列のURLはedinetdb.jp（EDIN"
767,マルサンアイ株式会社,9180301001869,324.6,G列,8.2,324.60億円（2025年9月期・単体）,"○ 妥当：名証メイン上場（2551）の親会社。2025年9月期の連結売上高331.57億円を確認し、単体324.60億円（gBizINFO/EDINET 32,460,315千円＝324.60億円、桁検算済み）と整合。連結・単体とも300億超で親会社基準（RULES§3-3）を満たす。ただし2025年3月にみそ事業を子会社等へ集約した事業ポートフォリオ再編の影響で、2026年9月期の連結売上高は当"
548,ゴウダ株式会社,6120901000808,325.0,I列(訂正),8.3,325億円（2025年実績・単体）,○ 妥当（G列訂正：325億円は「グループ実績」であり単体ではない）：自社採用HP「数字で見るゴウダ」で2025年10月グループ実績325億円（2024年実績320億円）を確認。G列の「単体」表記は誤りで、正しくは「325億円（2025年10月期・グループ実績）」。ゴウダ(株)はゴーテック／グラデュオ／ゴウダ物流／GODA C&Eを擁する親会社なので§3-3によりグループ値でOK。ただし単体値は未
1367,株式会社ダンロップスポーツマーケティング,7010401017478,325.0,I列(訂正),8.3,325億円（2025年実績・単体）,○ 妥当（G列訂正：325億円は「2025年12月期・単体」）：住友ゴム100%子会社。親の連結でなく自社採用HP『数字で見る』の単体325億円を採用しており§3-3を充足。再検証で決算公告（官報決算DB。§7-1の未確認ソースのため決算期の確認のみに使用）から決算期＝12月末と判明し、G列の「2025年実績」は2025年12月期。ただし前年2024年実績は278億円＝300億未満で、超過は+25
2207,オタフクホールディングス株式会社,6240001001983,325.0,G列,8.3,325億円（2025年度・連結）,○ 妥当（G列補足：決算期を「2025年9月期」と明記すべき）。対象法人は持株会社のため§3-3によりグループ連結300億超で可。日本食糧新聞（2025/10/22）および中国新聞が、Otafukuグループ9社連結の2025年9月期売上高を国内261億円＋海外64億円＝325億円・連結売上高過去最高と、決算期と金額を明記して報道しており§3-4の新聞社ソースを満たす。325億は基準300億に対し余
3502,株式会社イングリウッド,5012702013389,325.0,G列,8.3,325億円（2025年8月期・連結）,○ 妥当：イングリウッドはメディカルコート等を子会社化したグループ親会社であり、§3-3で連結値の採用は適合。2025年8月期（第21期）連結売上高325億円で300億超。自社サイトのCOMPANYページと電子公告ページの存在は確認したが、WebFetch遮断のため本文数値の直接再取得は不可（325億は複数の外部記事で一致。うち日本ネット経済新聞は取材時点で「見通し」表記）。300億との差が25億
3390,株式会社新日本科学,9340001000031,325.24,G列,8.4,325.24億円（2026年3月期・連結）,"○ 妥当：東証プライム上場（2395）の親会社のため連結値採用可（§3-3）。2026年3月期決算短信（2026年5月11日開示）の連結売上高32,524百万円＝325.24億円を再確認（4期連続で過去最高を更新）。桁検算一致。ただし基準300億に対し余裕は約8%と極めて薄く、次期に減収があれば条件を割るため要監視。"
1725,株式会社東陽テクニカ,8010001051991,325.59,G列,8.5,325.59億円（2025年9月期・連結）,○ 妥当：2025年9月期決算短信〔連結〕（2025/11/12開示）で連結売上高325億59百万円（前期比7.1%減／国内308.86億円＋海外16.72億円）を再現確認。G列の値・決算期・連結の別すべて一致。上場親会社のため連結採用可。ただし300億超の余裕は8%で減収基調のため、次期2026年9月期で割り込む可能性あり。
700,ラサ工業株式会社,8010001034971,325.95,G列,8.6,325.95億円（2026年3月期・単体）,○ 妥当：東証プライム上場の親会社のため連結採用可（§3-3）。自社IR決算説明資料（2026/5/14）で2026年3月期 連結売上高477.27億円（前期比5.1%増）を確認。G列の単体325.95億円は本検証では直接再現できていないが、親会社判定のため連結477.27億円で300億超が確定。
1220,内外テック株式会社,6010901008705,326.14,G列,8.7,326.14億円（2026年3月期・連結）,"○ 妥当：2026年3月期の連結売上高326億14百万円（前期比7.71％減）を確認。32,614百万円＝326.14億円で桁検算一致（§6-1）。東証3374の上場親会社で連結値の使用可（§3-3）。株式会社。ただし採用値が450億円未満かつ前期比7.7％減の減収基調で、300億基準に対する余裕は26億円（8％）にとどまるため要監視。"
1482,名古屋スバル自動車株式会社,1180001013049,326.95,G列,9.0,326.95億円（2024年度・単体）,○ 妥当（§6-7 合併・商号変更／基準に近く要注意）：2026/4/1に岐阜スバル自動車・三重スバル自動車と合併し「スバル東海株式会社」となった。架電時の社名は「スバル東海株式会社」。株式会社SUBARUの連結子会社のため§3-3で単体判定が必要。採用値326.95億円（2024年度）は300億超だが超過幅は約27億円と薄く、単体か東海3社合算かの別が自社HPで確定できなかった。合併後の単体はよ
815,ヴァーレ・ジャパン株式会社,9010401074848,327.96,G列,9.3,327.96億円（2025年12月期・単体）,"○ 妥当（G列に疑義・判定は不変）：反証検証で、G列の「327.96億円（2025年12月期・単体）」を32,796百万円でシード指定して2回検索したが、gBizINFO・官報決算データベースのいずれからも再現できなかった。一方で官報決算公告は第59期432.78億円・第60期440.89億円を示し、直近期の実勢は430〜440億円台。327.96億円が正しい場合も、実勢が440億円台である場合も"
3299,福島トヨタ自動車株式会社,6380001001499,328.0,G列,9.3,328億円（2026年3月期・単体）,"○ 妥当：自社企業情報ページで2026年3月期（2025年4月〜2026年3月）売上高328億円、新車販売5,510台、従業員510名（2026年3月現在）を確認。基準300億に近いが超過。単体値のため親子判定に影響なし。"
4225,株式会社ダイヤモンドダイニング,4010401130622,328.71,G列,9.6,328.71億円（2025年2月期・単体）,○ 妥当（要留意）：株式会社DDグループの事業子会社であり§3-3により単体300億以上が必須。親会社DDグループ（3073）の2025年2月期連結は3Q累計285.19億円＋4Q約100.5億円＝通期約385億円規模で、ダイヤモンドダイニング単体328.71億円（2025年2月期）と整合する（グループ主力事業会社として妥当な比率）。G列の出典は自社ドメインの決算公告PDF。ただしWebSearc
1752,長野県酒類販売株式会社,4100001002295,329.0,G列,9.7,329億円（2025年3月・単体）,○ 妥当（G列訂正の疑い：決算期・数値）：計5クエリでもG列の「329億円・2025年3月」は一度も返らず、代わりに売上高326億円（令和5年度＝2024年3月期）が2回独立に返った。G列の決算期表記は誤りの可能性が高い。ただし326億・329億いずれも300億超で判定は動かない。日本食糧新聞に1999年3月期537.24億円の記載があり四半世紀で約4割の長期減収トレンド。総資産161億円・自己資
2545,株式会社スタジオアリス,5120001096533,329.28,G列,9.8,329.28億円（2026年2月期・連結）,○ 妥当：親会社（東証2305）。2026年4月14日開示の2026年2月期決算短信で連結売上高329.28億円（前期比7.5%減）を再現確認。決算期・数値ともG列と一致し基準クリア。ただし300億に対する余裕が約29億円と薄く、前期比7.5%減の減収基調が続けば次期に割り込む可能性があるため要ウォッチ。
205,株式会社ホンダネットキンキ,7150001001265,329.6,G列,9.9,329.6億円（2024年度・合併前2社合算）,○ 妥当：自社HP会社概要(net-kinki.co.jp/about/company/)で売上高329.6億円（2024年度実績・ホンダネット京奈／スーパーホンダ和歌山の合算）を確認。§6-7の社名変更該当：2025年4月に株式会社ホンダネット京奈が株式会社スーパーホンダ和歌山を吸収合併し、商号を株式会社ホンダネットキンキへ変更。リストのC列は変更後の現商号のため架電時の名乗りに支障はない。留意
1767,株式会社オータケ,9180001029707,329.93,I列(訂正),10.0,312.53億円（2024年5月期・単体）,○ 妥当（G列訂正：2024年5月期は2期前。確認できる最新は2025年5月期329.93億円）：東証スタンダード（7434）名古屋の管工機材専門商社で親会社。反証試行の結果、判定は覆らないが1次の記述に誤りを発見。1次は『決算発表2026年7月14日予定＝既に開示済みのはず』としたが、自社IR（kk-otake.co.jp）に「2026年5月期決算短信の開示が期末後50日を超えることに関するお知
1343,日産ネットワークホールディングス株式会社,3020001062646,330.0,G列,10.0,330億円（2025年度・単体）,"○ 妥当：社名は「ホールディングス」だが実体は日産自動車92.3%出資の子会社のため単体判定が必要（§3-3）。自社HP企業概要の330億円（2025年度）に加え、第71期決算公告（決算末日2025年3月31日）の単体売上高336億1,300万円でも裏取りでき、単体で300億超を確認。ただし基準超過は約1割にとどまり薄い。子会社に連結値を当てた誤りではない（販社を連結すれば桁が変わるため330億円"
1027,静銀リース株式会社,7080001001990,331.0,G列,10.3,331億円（2026年3月期・単体）,"○ 妥当：しずおかフィナンシャルグループの子会社だが単体331億円で300億超。自社HP『静銀リースについて』にドメイン限定検索で到達し、売上高331億円（2026年3月期）・資本金2億5,000万円・従業員130人（2026年4月1日時点）を確認。決算期・数値とも一致。ただし300億をわずかに超える水準（前年比▲1.18%の減収）のため、次期減収で割り込む可能性があり定期再確認を推奨。"
3475,株式会社ソーシン,3030001027053,331.0,G列,10.3,331億円（2025年度・単体）,○ 妥当：自社会社概要／業績ページで2025年度売上高331億円を確認。日野自動車の連結子会社（本社=埼玉県入間市、法人番号3030001027053で照合）だが、対象法人自身の値が300億超のため§3-3適合。ただし超過は約31億と極めて薄く、また331億円が単体かソーシングループ計かの明示までは確認できていないため、架電前に業績ページで単体・最新期を再確認推奨。
773,岡山県貨物運送株式会社,4260001001001,331.85,G列,10.6,331.85億円（2026年3月期・単体・営業収益）,"○ 妥当：東証スタンダード上場（9063）の親会社。2026年3月期の連結営業収益388.99億円（前期比+1.4%、営業利益12.60億円・同+39.0%、親会社株主帰属当期純利益27.19億円）を2026/5/8開示の決算短信ベースで再現・確認。単体は331.85億円（EDINET/gBizINFO 33,184,661千円＝331.85億円、桁検算済み）。親会社は連結・単体いずれでも判定可（"
125,リリカラ株式会社,2011101022797,332.07,G列,10.7,332.07億円（2025年12月期・単体）,"○ 妥当：2025年12月期・売上高332億円（33,207百万円）を自社IR決算資料で再確認（経常利益7.3億円・当期純利益5.2億円）。2026年12月期は未到来のため鮮度OK。※332.07億円は300億基準に対し余裕が小さく、450億未満の薄マージン。単体/連結の別はH列記載どおり単体で矛盾なし。"
2746,遠藤科学株式会社,5080001000689,333.0,G列,11.0,約333億円（現行会社概要・単体）,○ 妥当：自社HP会社概要に年商約333億円。法人番号5080001000689がgBizINFOと一致（静岡市駿河区・理化学機器の技術商社・従業員約240名）。自社HPに事業報告書ページがあり最新は第72期（2024年8月1日〜2025年7月31日）＝7月決算で鮮度は直近3期以内。ただしG列の「約333億円」は会社概要の年商表記で決算期の明記がなく、300億基準に対するマージンは33億と薄い。架
857,西部電機株式会社,2290001036343,333.52,I列(訂正),11.2,380.43億円（2026年3月期・単体）,"○ 妥当（G列訂正：単体/連結の別と数値に不整合）。西部電機は2025年3月期の連結売上高333.52億円（前期比4.4%増・過去最高）、2026年3月期の連結予想361億円（同8.2%増）。G列の「単体380.43億円」は連結予想を上回っており、単体≦連結の関係と矛盾する。38,043百万円は2026年3月期の連結実績値で「単体」表記が誤りの可能性が高い。最も保守的な333.52億円でも300億"
