行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
306,001Nn00000eVYg5,5020001074318,プレス工業株式会社,架電可（G列訂正あり）,"G列訂正：決算期・金額の誤り確定）：架電可否は○のまま（どの期でも1,700億円超）","○ 妥当（G列訂正：決算期・金額の誤り確定）：架電可否は○のまま（どの期でも1,700億円超）。本検証で再確認したところ2026年3月期は会社計画で連結売上高1,730億円（前期比8.9%減）・営業利益88億円であり、G列の『2,021.67億円（2026年3月期・連結）』は2026年3月期の値ではない（2024年3月期実績とみるのが整合的、2025年3月期実績は約1,899億円）。判定不変だがG列は業績ハイライト／2026年3月期決算短信の確定実績に差し替え要。"
311,001Nn00000eVYgL,4120001086023,ナカバヤシ株式会社,架電可（G列訂正あり）,G列訂正：金額・決算期に疑義）：600億円台で300億は大幅超過のため架電可否は○,○ 妥当（G列訂正：金額・決算期に疑義）：600億円台で300億は大幅超過のため架電可否は○。本検証でも2026年3月期の確定連結売上高は承認ソースから再現できず、確認できたのは2025年3月期実績627.67億円（前期比+2.8%）と2026年3月期会社予想635.00億円。G列の615.98億円はどちらとも一致せず前々期以前の値の可能性が高い。H列引用の決算短信PDF（日本語ファイル名）も実在確認できず、2026年3月期決算短信の確定値とURLで要差し替え。上場親会社（東証スタンダード7987）で親子判定は問題なし。
312,001Nn00000eVYgT,8030001071633,アサヒロジスティクス株式会社,架電可（G列訂正あり）,G列訂正：金額・決算期が承認ソースで再現不可）：グループ会社ページ上、同社が親会社側（アサヒフレッシュロジ・レインボー物流・アサヒオートサービス等を傘下に持つ）であり連結採用は適正,○ 妥当（G列訂正：金額・決算期が承認ソースで再現不可）：グループ会社ページ上、同社が親会社側（アサヒフレッシュロジ・レインボー物流・アサヒオートサービス等を傘下に持つ）であり連結採用は適正。自社HPで確認できたのは2022年度の連結売上高460億円超・従業員6千名超まで（＝直近3期を外れる）。G列の666億円（2026年3月期・連結）と単体517億円は金額シード検索でも一度も返らず、代わりに478億円（2025年3月期）が返る＝G列値が誤りである信号。ただし直近の水準はいずれも300億を大きく超え判定は○のまま。自社HP「売上高の推移」ページ https://www.asahilogistics.co.jp/corporate/transition/ での確定値取得を推奨。
327,001Nn00000eVYtR,6340001004241,南日本くみあい飼料株式会社,架電可（G列訂正あり）,G列訂正：正しくは881億円（令和6年度実績＝2025年3月期・単体）,○ 妥当（G列訂正：正しくは881億円（令和6年度実績＝2025年3月期・単体）。G列の「846億円（令和7年度）」は承認ソースに存在せず、令和7年度実績は自社HP未掲載）：法人番号6340001004241で照合し、本社は鹿児島市鴨池新町15、設立1971年3月1日、代表 柚木弘文、決算3月の株式会社。JAグループの配合飼料メーカーで鹿児島・宮崎が地盤。現行サイトは mks-f.co.jp（D列 j-bee.com は旧URL）。本反証で自社HP会社案内から再現できたのは令和6年度実績881億円のみで、846億円は1次・再検証・反証の3経路とも再現不能。従業員174名（令和7年5月1日現在）。いずれの値でも300億を大きく超えるため架電可否は○。
341,001Nn00000eVYzc,9010001024113,東洋エンジニアリング株式会社,架電可（G列訂正あり）,"G列訂正：正しくは1,319.02億円（2026年3月期・連結）","○ 妥当（G列訂正：正しくは1,319.02億円（2026年3月期・連結）。G列の1,829.41億円は誤りで承認ソースに存在しない）：東証プライム上場（6330）の親会社。再検証で2026年3月期通期の連結売上高1,319億200万円（前年比35.8%減）を確認。営業△209.95億・経常△157.78億・純損益△174.93億の赤字決算で、ブラジルのガス火力発電案件の工事遅延と追加費用が要因（2025年7月に仲裁申立）。決算短信は2026年5月14日提出、文書ID 140120260513529468 でH列URLと一致。300億を大きく超えるため架電可否は○。"
353,001Nn00000eVZ0M,8180301014236,津田工業株式会社,架電可（G列訂正あり）,G列訂正：正しくは506.64億円（2025年3月期・第104期・単体）,"○ 妥当（G列訂正：正しくは506.64億円（2025年3月期・第104期・単体）。G列の「674億円（2025年度・連結）」は承認ソースに存在せず、H列引用の自社HP会社情報にも売上高の記載がない）：本反証で第104期の売上高50,664百万円＝506億6,400万円・当期純利益1,382百万円を決算公告ベースで再確認し、1次再検証の数値と完全一致。ただし到達できる出典は官報決算データベースcatr.jpと決算公告集約の個人ブログのみで、catr.jpに実際に収録されているのは第97期（2018年3月期387.69億円）・第98期（2019年3月期383.81億円）＝いずれも§3-8の直近3期外。1次再検証が第104期の根拠としたcatr.jpのURL（.../b1c4d/114421）は第98期のページであり誤引用のため差し替え済み。tsuda-inc.co.jp のドメイン限定検索でも会社情報・会社概要ページに売上高記載なし。デンソーが主要株主の愛知県刈谷市の自動車部品メーカー（法人番号8180301014236で照合一致）で、子会社・関連会社いずれの解釈でも単体506億が基準を満たすため架電可否は○。証跡は§7-1（catr.jpが承認ソースか未確定）の先方確認待ちで、確定には官報原本または自社決算公告の直接確認が必要。"
357,001Nn00000eVZ0X,9120001077380,大塚化学株式会社,架電可（G列訂正あり）,G列訂正：判定値は単体382.26億円（2025年度）を採用すべき,"○ 妥当（G列訂正：判定値は単体382.26億円（2025年度）を採用すべき。G列の813.01億円は大塚化学サブグループの連結値）：大塚ホールディングス傘下の子会社であり§3-3で連結値は使用不可。単体38,226百万円＝382.26億円で300億以上のため架電可否は○。連結は81,301百万円＝813.01億円。自社HP会社概要で確認。300億まで82億の薄マージン。"
374,001Nn00000eVZEM,7010401078520,株式会社ＩＮＰＥＸ,架電可（G列訂正あり）,"G列訂正：2兆1,135億円（2025年12月期・連結／IFRS原文表記「売上収益」））：H列記載の決算短信（result20260212.pdf・2026/2/12開示）が実在することを確認したうえで、202","○ 妥当（G列訂正：2兆1,135億円（2025年12月期・連結／IFRS原文表記「売上収益」））：H列記載の決算短信（result20260212.pdf・2026/2/12開示）が実在することを確認したうえで、2025年12月期の売上収益は2兆1,135億円（前期比▲11.2%）であることを確認。G列の「2兆113億円」は桁が1つ脱落した誤記とみられる（§6-1）。正しくは2兆1,135億円。300億基準は当然クリアのため架電可否は○のまま。第3四半期累計の売上収益は1兆5,206億円（▲13.0%）で全体規模とも整合。"
387,001Nn00000eVZPz,4290801000117,株式会社リードヘルスケア,架電可（G列訂正あり）,G列訂正：自社HP会社概要で確認できる記載は売上高649億円・2024年3月期〈従業員269名も同期〉,○ 妥当（G列訂正：自社HP会社概要で確認できる記載は売上高649億円・2024年3月期〈従業員269名も同期〉。G列の624億円〈2026年3月期〉は今回の検索では承認ソースで再現できず）。フォレストグループの事業会社＝子会社だが、単体649億円で300億超のため架電可。決算期は3月。
398,001Nn00000eVZdo,4120001050532,ヒロセホールディングス株式会社,架電可（G列訂正あり）,"G列訂正：自社HP会社概要で確認できたのはグループ連結1,418億円〈2025年3月期〉","○ 妥当（G列訂正：自社HP会社概要で確認できたのはグループ連結1,418億円〈2025年3月期〉。G列の1,468億円〈2026年3月期〉は今回の検索では再現できず）。持株会社のため連結採用は適正で、いずれの値でも300億を大幅超過のため架電可。従業員1,966名。"
405,001Nn00000eVZfz,9210001007535,ゲンキー株式会社,架電可（G列訂正あり）,"G列訂正：2,206億38百万円は親会社Genky DrugStores(株)〈東証9267〉の2026年6月期【連結】値であり、ゲンキー(株)単体ではない）","○ 妥当（G列訂正：2,206億38百万円は親会社Genky DrugStores(株)〈東証9267〉の2026年6月期【連結】値であり、ゲンキー(株)単体ではない）。法人番号9210001007535のゲンキー(株)は2017年12月の株式移転で設立された同HDの事業子会社。子会社は単体300億以上が条件（§3-3）で単体値は非公表だが、期末534店舗すべてを運営する唯一の事業会社で連結2,206億円のほぼ全額を占めるため300億超と判断し○。"
407,001Nn00000eVZgV,1010401015438,世紀東急工業株式会社,架電可（G列訂正あり）,G列訂正：2026年3月期の連結売上高は952.59億円〈前期比△4.1%、経常62.78億円、決算短信2026年5月7日開示〉,○ 妥当（G列訂正：2026年3月期の連結売上高は952.59億円〈前期比△4.1%、経常62.78億円、決算短信2026年5月7日開示〉。G列の900.41億円は自社HP会社概要記載で単体値の可能性が高い）。いずれも300億を大幅超過のため架電可。連結／単体の別をG列に明記すべき。
412,001Nn00000eVZgk,3011301002350,株式会社小泉,架電可（G列訂正あり）,"G列訂正：単体1,560.88億円・2026年3月期は承認ソースで再現不能）：株式会社小泉は小泉グループの親会社（小泉商事・小泉中央等を傘下に持つ）であり§3-3により連結／グループ値採用可","○ 妥当（G列訂正：単体1,560.88億円・2026年3月期は承認ソースで再現不能）：株式会社小泉は小泉グループの親会社（小泉商事・小泉中央等を傘下に持つ）であり§3-3により連結／グループ値採用可。自社HP「経営概況」でグループ売上高2,850億円（2025年3月期・関連会社／海外現法含む）、グループ国内売上高1,807億円・営業利益37.3億円（令和7年3月期、過去最高）を確認。一方1次のG列値156,088百万円（第80期・単体）は自社ドメイン限定検索でも一般検索でも再現できず、決算期（2026年3月期）も自社サイト最新記載（令和7年3月期）と不一致。基準300億は桁違いに超過するため○は維持。G列は「2,850億円（2025年3月期・グループ）」等に訂正すべき。"
434,001Nn00000eVZsm,7020001073375,杉本電機産業株式会社,架電可（G列訂正あり）,"G列訂正：616.1679億円・2026年3月期は承認ソースに存在せず）：金額シード検索「616億1,679万円／従業員567名」を実行したところ当該数値は一件も返らず、ヒットしたのはマイナビ2027・キャリタ","○ 妥当（G列訂正：616.1679億円・2026年3月期は承認ソースに存在せず）：金額シード検索「616億1,679万円／従業員567名」を実行したところ当該数値は一件も返らず、ヒットしたのはマイナビ2027・キャリタス・doda・Wikipedia等の禁止ソースのみ（要約でも数値未確認）。一方 e-sugimoto.co.jp ドメイン限定検索では自社HP会社概要が売上高534億3,492万円（令和7年3月期＝2025年3月期・単体）を再現。§6-6の典型パターンであり1次値は誤りと判断。非上場の独立系電材商社で親会社なし。534.35億円でも基準300億を大幅超過するため○は維持。G列は「534.3492億円（2025年3月期・単体）」に訂正すべき。"
436,001Nn00000eVZsz,3010501030582,ＡＧＣグラスプロダクツ株式会社,架電可（G列訂正あり）,G列訂正：563.78億円・2025年は承認ソースに存在せず）：金額シード検索「563億円」では自社サイトから当該値が一切返らず、ヒットしたのはマイナビ2026・マイナビ転職等の禁止ソースのみ,"○ 妥当（G列訂正：563.78億円・2025年は承認ソースに存在せず）：金額シード検索「563億円」では自社サイトから当該値が一切返らず、ヒットしたのはマイナビ2026・マイナビ転職等の禁止ソースのみ。自社ドメイン限定検索では採用サイト会社情報 https://www.agc-gp.co.jp/recruit/company/ が売上高571億円・社員数1,034人を再現（§5-2-9の承認ソース）。従業員基準日2024年12月、同社は12月決算のため採用値は2024年12月期と解される（官報決算公告の2022年12月期454.87億円とも整合）。AGCの子会社だが単体で300億を大幅超過のため§3-3充足、○は維持。G列は「571億円（2024年12月期・単体）」に訂正すべき。"
452,001Nn00000eVZwv,1011001006587,共立建設株式会社,架電可（G列訂正あり）,G列訂正：531.55億円→458.20億円／2025年3月期・単体）：法人番号1011001006587＝東京都渋谷区のNTT関連総合建設会社（財団法人電気通信共済会が設立主体）で企業同定は一致,"○ 妥当（G列訂正：531.55億円→458.20億円／2025年3月期・単体）：法人番号1011001006587＝東京都渋谷区のNTT関連総合建設会社（財団法人電気通信共済会が設立主体）で企業同定は一致。G列531.55億円（2025年度）は自社HP業績ページ等の承認ソースで再現できず、金額をシード指定した検索でも一切返らない。官報決算公告 第70期（2025年3月期・単体）売上高45,820百万円＝458.20億円が実勢で、第68期369.77億円からの増収トレンドとも整合。決算期は直近3期以内。いずれの値でも300億を超えるため架電可否は○のまま。"
477,001Nn00000eVaAC,1140001068336,株式会社関電システムズ,架電可,G列要訂正,○ 妥当（G列要訂正：決算期と出典が誤り）：株式会社。関西電力の子会社だが単体で300億超で§3-3を満たす。判定は○のままだが2点の誤りを検出した。①出典：1次が根拠に添えた自社ドメインの決算公告PDFは kessan52.pdf（第52期）で、§3-8の直近3期から大きく外れた古い資料。今回自社ドメイン上の最新公告が kessan58.pdf（第58期＝2024年4月1日～2025年3月31日＝2025年3月期）であることを確認したので、出典URLはこちらに差し替えること。②数値：G列の「528.53億円（2025年度＝2026年3月期＝第59期）」は金額シード検索で再現できず、自社ドメイン上に第59期の公告も見当たらない。別系統は2025年3月期456.88億円（従業員741名）、2022年度325.86億円。528.53と456.88のどちらを採っても300億は大きく上回るため架電可否は動かないが、実額と対象年度は kessan58.pdf 直読で確定させること。今回は検索枠切れにより実額の確定クエリを打てなかった。
479,001Nn00000eVaAg,5160001010473,旭化成住工株式会社,架電可（G列訂正あり）,G列訂正：370億円→354億円（2025年3月期・単体））：株式会社,"○ 妥当（G列訂正：370億円→354億円（2025年3月期・単体））：株式会社。旭化成ホームズの子会社だが単体で300億超のため§3-3を満たす。G列の「370億円（2025年度）」は金額をシード指定してもどの系統からも再現されず、1次と今回の独立2系統がともに「354億円（2025年3月）」を返した。370億は1次値の誤りと判断し、354億（2025年3月期・単体）に訂正する。354億でも300億を約18%上回り架電可否の判定は○のまま。自社HP会社概要（asahi-kasei.co.jp/jyukou/company/outline.htm）の実在と資本金28億2,000万円の一致は確認済。ただし354億という数値自体の出所もマイナビ等の禁止ソースに偏っており、自社HP会社概要ページの直読で実額を確定させることを推奨。確定できなければ§3-5により△に倒す候補となる。今回は検索枠切れのため自社ドメイン限定検索は未実施。"
497,001Nn00000eVaHX,3040001072503,キッコーマン食品株式会社,架電可（G列訂正あり）,G列訂正：決算期が1期古い）：株式会社,"○ 妥当（G列訂正：決算期が1期古い）：株式会社。キッコーマン（持株会社）の子会社だが単体で300億超。最新の有価証券報告書（第108期・2024年4月1日〜2025年3月31日、2025年6月20日提出）に、キッコーマン食品は『売上収益（連結会社相互間の内部売上収益を除く）の連結売上収益に占める割合が10%を超える』主要な連結子会社と明記されており、連結規模（数千億円）から単体300億超は確実。一方でG列は2024年3月期の103,555百万円＝1,035.55億円のままで、最新期（2025年3月期）の値へ更新すべき。指標はIFRS『売上収益』であることの注記はH列に既にあり適切。架電可否は○のまま。"
528,001Nn00000eVaOK,5010001032615,ジェイフィルム株式会社,架電可（G列訂正あり）,G列訂正：承認ソースで確認できる値は336億円・2025年3月期・単体）：三菱ケミカルグループ公式リリースに売上高336億円・従業員827名（2025年3月末）と記載,○ 妥当（G列訂正：承認ソースで確認できる値は336億円・2025年3月期・単体）：三菱ケミカルグループ公式リリースに売上高336億円・従業員827名（2025年3月末）と記載。G列の「318億円・令和8年3月期」は承認ソースで再現できず。さらに2025年12月29日付で親会社が三菱ケミカル→丸の内キャピタルに変更（§6-7関連、自社リリース2025/8/1）。単体336億で子会社単体基準は充足。
542,001Nn00000eVaaN,3011001049510,フリュー株式会社,架電可（G列訂正あり）,"G列訂正：447.67億円が正確）：2026年3月期決算短信で連結売上高44,767百万円=447.67億円（前期比1.0%増）、営業利益33.15億円（48.1%増）を確認","○ 妥当（G列訂正：447.67億円が正確）：2026年3月期決算短信で連結売上高44,767百万円=447.67億円（前期比1.0%増）、営業利益33.15億円（48.1%増）を確認。G列の「447億円」は丸めで実害はないが447.67億円に精緻化推奨。東証プライム上場の親会社（6238）で連結値の採用可。300億超の余裕は約148億で薄め。"
548,001Nn00000eVai9,6120901000808,ゴウダ株式会社,架電可（G列訂正あり）,G列訂正：325億円は「グループ実績」であり単体ではない）：自社採用HP「数字で見るゴウダ」で2025年10月グループ実績325億円（2024年実績320億円）を確認,○ 妥当（G列訂正：325億円は「グループ実績」であり単体ではない）：自社採用HP「数字で見るゴウダ」で2025年10月グループ実績325億円（2024年実績320億円）を確認。G列の「単体」表記は誤りで、正しくは「325億円（2025年10月期・グループ実績）」。ゴウダ(株)はゴーテック／グラデュオ／ゴウダ物流／GODA C&Eを擁する親会社なので§3-3によりグループ値でOK。ただし単体値は未確認で、300億超の余裕が約25億と極薄。ヤマウチ（行38）と同型のグループ値混入。
556,001Nn00000eVawe,1120001041352,因幡電機産業株式会社,架電可（G列訂正あり）,"G列訂正：4,170.23億円（2026年3月期・連結）と具体値で記載すべき）：2026年3月期の連結売上高4,170億2,300万円（前期比8.6%増）、営業利益297.11億円で5期連続過去最高を確認","○ 妥当（G列訂正：4,170.23億円（2026年3月期・連結）と具体値で記載すべき）：2026年3月期の連結売上高4,170億2,300万円（前期比8.6%増）、営業利益297.11億円で5期連続過去最高を確認。G列の「4,000億円超」は誤りではないが数値が不明確で、アポインターが金額を答えられない。東証上場の親会社（9934）で連結値の採用可。"
571,001Nn00000eVb79,6130001022108,株式会社ハートフレンド,架電可（G列訂正あり）,G列訂正：決算期を「2025年2月期」と明記すべき,○ 妥当（G列訂正：決算期を「2025年2月期」と明記すべき。G列は「2025年」のみで期が不明確）：株式会社ハートフレンド（スーパー「フレスコ」運営／京都市下京区／法人番号6130001022108）。自社採用サイト「数字で見る」に売上高573億円（2025年2月期）。非上場・独立系の事業会社（親会社なし）につき単体573億円で300億以上を満たす。京都市の公的企業情報サイトでも同社概要を確認。※573億円は禁止ソース（マイナビ／Baseconnect）にも同値が流通しているため、原典は自社採用ドメインの記載である点を必ず確認。
586,001Nn00000eVbLF,7120001090121,丸紅インテックス株式会社,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正の疑い：直近の確認値は576億4,800万円＝576.48億円〈2025年3月期・単体〉で、G列の558億円〈2025年度〉と一致しない。年度取り違えの可能性）：丸紅インテックス株式会社（大阪市北区／丸紅株式会社100%出資の子会社／資本金3億7,700万円・従業員163名）。子会社のため単体値必須だが、単体で550〜576億円規模のため§3-3の条件は満たす。ただし自社HP会社概要ページをドメイン限定検索しても売上高記載を再現できず、558億／576億のいずれもマイナビ・NIKKEI COMPASS等の禁止ソース経由でしか確認できていない。数値と決算期は要再確認。"
591,001Nn00000eVbSH,2010101001836,株式会社スーパーアルプス,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正の疑い：2026年3月期の売上高として655億5,584万円＝655.56億円とする記載が別ソースにあり、G列の647億円と一致しない）：株式会社スーパーアルプス（東京都八王子市滝山町2-351／法人番号2010101001836／1962年4月設立／正社員718名）。非上場・独立系のため単体判定で、647億・655.56億のいずれでも300億を大幅超過し架電可否は○。ただし自社HP企業情報ページをドメイン限定で検索したが売上高の記載を確認できず、655.56億円はSalesNow／NIKKEI COMPASS等の禁止ソース由来。数値と決算期は自社HPで要再確認。"
595,001Nn00000eVbWU,6480001005283,四国化工機株式会社,架電可（G列訂正あり）,G列訂正：G列の「単体650億円（2026年3月期）／連結732億円」を承認ソースで再現できず,○ 妥当（G列訂正：G列の「単体650億円（2026年3月期）／連結732億円」を承認ソースで再現できず。自社ドメイン限定検索では「連結売上高 約602億円」しか確認できなかった）：四国化工機株式会社（徳島県板野郡北島町太郎八須字西の川10-1／非上場／機械・包装資材・食品の3事業／SKグループ中核＝親会社、四国パック等を傘下に持つ）。親会社のためグループ連結300億超で可（§3-3）。602億・650億・732億のいずれでも300億は大幅超過のため架電可否は○だが、G列の数値・決算期・単体連結の別は自社HP会社概要ページで確定させること。
603,001Nn00000eVbm1,7020001010527,古河電池株式会社,架電可（G列訂正あり）,G列訂正,○ 妥当（G列訂正・重要注記／§6-7相当の資本異動あり）：古河電池株式会社は、2025年9月9日に株式会社AP78（アドバンテッジパートナーズ系）の公開買付けが成立、2025年11月20日の臨時株主総会で株式併合を決議し、**2025年12月22日付で上場廃止**（旧東証6937）。以後はファンド傘下の非上場会社となり上場企業としての開示が止まる見込み。G列の848.18億円（2025年3月期・連結）は直近3期以内で鮮度は可、2026年3月期の会社予想は売上高840億円（前期比1.0%減）でいずれも300億を大幅超過。ただし現在は資本上「子会社」に当たるため§3-3の厳格解釈では単体値が必要で、単体売上高は承認ソースで未確認。架電時は上場廃止済み・親会社交代済みである点に留意。
