行,取引先ID,法人番号,取引先名,判定,G列,指摘コード,指摘内容
3353,001Nn000013Sda4,9011501007680,株式会社東京インテリア家具,○,568億円（2024年5月期・単体）,DUP_NAME,"同名が2件（行[3353, 3397]）§6-2"
3397,001Nn000013Sdcz,9410001002895,株式会社東京インテリア家具,△,確認不可,DUP_NAME,"同名が2件（行[3353, 3397]）§6-2"
3401,001Nn000013SddA,5010001010216,株式会社アペックス,○,372億円（2025年12月期・グループ）,DUP_NAME,"同名が2件（行[3401, 3478]）§6-2"
3403,001Nn000013SddF,8340001002581,株式会社タイヨー,○,"1,088億円（2026年2月期・単体）",DUP_NAME,"同名が2件（行[2962, 3403]）§6-2"
3447,001Nn000013Sdef,1120001017427,株式会社光洋,△,確認不可,DUP_NAME,"同名が2件（行[2643, 3447]）§6-2"
3478,001Nn000013Sdik,1180001092373,株式会社アペックス,○,372億円（2025年12月期・グループ）,DUP_NAME,"同名が2件（行[3401, 3478]）§6-2"
3499,001Nn000013Sdn3,5011001029386,株式会社アミューズ,○,696.54億円（2026年3月期・連結営業収入）,DUP_NAME,"同名が2件（行[480, 3499]）§6-2"
3502,001Nn000013Sdnr,5012702013389,株式会社イングリウッド,○,325億円（2025年8月期・連結）,SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
3513,001Nn000013Sdyv,5060001015177,株式会社日本産業,○,"3,193億円（2025年7月31日現在・単体）",DUP_NAME,"同名が2件（行[883, 3513]）§6-2"
3518,001Nn000013Se14,2260001024029,株式会社セントラル,△,確認不可,DUP_NAME,"同名が2件（行[2782, 3518]）§6-2"
3986,001Nn000013Sfp4,3130001049475,株式会社フロンティア,△,確認不可,DUP_NAME,"同名が2件（行[723, 3986]）§6-2"
3987,001Nn000013Sfp9,3300001005097,前田建設工業株式会社,△,確認不可,DUP_NAME,"同名が2件（行[2450, 3987]）§6-2"
