行,取引先名,法人番号,未検証の疑い,I列,J列
247,日本たばこ産業株式会社,4010401023000,,"○ 回収：1次は jti.co.jp が403で取得不可としたが、自社IRの決算短信で数値を確認できた。売上収益 3兆4,677億円（2025年12月期・IFRS・連結、前年度比13.4%増）。出典＝2025年12月期決算短信〔IFRS〕（連結）2026年2月12日開示、および2025年度決算レポート。東証プライム上場（コード2914）の親会社本体であり、連結・単体いずれでも300億円を大幅超過。架電可。",https://www.jti.co.jp/investors/library/result/pdf/20260212_01.pdf ; https://www.jti.co.jp/investors/library/presentation/pdf/20260212_03.pdf ; https://www.jti.co.jp/investors/library/press_releases/2
256,東海興業株式会社,9180001092622,,"○ 回収：1次は『自社HPは売上高がグラフのみで数値記載なし』としたが、自社HPには数値ページが存在する。自社HP財務ページ『売上高と従業員数（嘱託・臨時含む）』および新サイト会社概要『財務・業績推移』で、売上高 470.8億円（2025年3月期・単体）、従業員1,309名（2025年3月）、資本金3億135万円を確認。独立系で親会社なし（親会社判定＝単体で可）。300億円以上のため架電可。※同ドメインはShift-JISのため検索スニペット経由での取得となっており、数値の最終確認は当該ページの直接目視を推奨。",https://www.tokaikogyo.co.jp/Kaisya/Zaimu.html ; https://tokaikogyo.co.jp/about-us/ ; https://www.tokaikogyo.co.jp/Kaisya/Gaikyo.html
276,株式会社川島コーポレーション,2040001050435,,"○ 回収：1次が当たっていなかった公的機関ルート（§5-3の7）で確認。横須賀市が公表する有料老人ホーム重要事項説明書（作成日 令和6年7月1日）の『１ 事業主体概要／直近の事業収支決算額』に、事業主体＝株式会社川島コーポレーション（千葉県君津市東猪原248番地2、代表 川島輝雄、資本金5,000万円）の 収益 55,513,527千円＝555.14億円（費用54,786,815千円、損益726,712千円）と記載。主要株主は川島輝雄70.6%／川島正代15.4%／川島大倫14.0%の個人で親会社なし＝単体判定で可。300億円以上のため架電可。※原文表記は『収益』（法人全体の事業収支決算額）で",https://www.city.yokosuka.kanagawa.jp/2615/yuuryou/documents/sunnylife.pdf ; https://www.pref.kanagawa.jp/documents/41861/y2021-257.pdf ; https://www.sunnylife-group.co.jp/
299,日研トータルソーシング株式会社,4010801009318,,"○ 回収：1次が確認した会社概要URL（/company/corporate.html）とは別に、自社ドメイン内の採用ページ『数字で見る』（§5-3の9）に売上高の記載がある。売上高 1,262億円（2025年3月期・単体）※直近では1,332億円（2026年3月期・単体）との記載もあり。正しい会社概要URLは /corporate/corporate.html。1981年設立の独立系（アルムホールディングス等を傘下に持つ親会社側）で、親会社なし＝単体判定で可。従業員24,300名（2026年4月現在）。300億円を大幅超過のため架電可。※採用値の決算期は2025年3月期を採用（2026年3月",https://nikken-totalsourcing.jp/career/data/ ; https://www.nikken-totalsourcing.jp/corporate/corporate.html ; https://nikken-totalsourcing.jp/career/company/
315,株式会社日建設計,9010001006111,,"○ 回収：売上高776億円(2025年実績＝2025年12月期)。出典＝自社ドメイン内の採用ページ「早わかりNIKKEN」(§5-3経路9)。役職員2,831名(2026年4月1日現在)。同社は日建グループの中核会社で子会社ではない。自社サイトに第79〜81期の計算書類PDFも掲載。※過去掲載の596億円(2024年実績)とは集計範囲が異なる可能性があるが、いずれも300億超で判定不変",https://www.nikken.co.jp/ja/career/about/index.html; https://www.nikken.co.jp/ja/about/pj4urv0000004hsm-att/kessan2023.pdf; https://www.nikken.co.jp/ja/about/portfolio/overview.html
322,麒麟麦酒株式会社,1010001098858,,"○ 回収：売上高853,792百万円＝8,537.92億円(単体)。出典＝キリンホールディングス有価証券報告書「関係会社の状況」の主要な損益情報等(2026年3月27日提出・第187期＝2025年12月期)。経常利益637.05億円・純資産595.79億円・総資産5,466.10億円。子会社だが単体で300億を大幅超過のためOK(§3-3)。1次が当たっていなかった経路＝親会社有報の巻末「関係会社の状況」",https://pdf.irpocket.com/C2503/FgNv/lS1l/hGZM.pdf; https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/securities-report/20260327/S100XTVS.pdf; https://edinetdb.jp/company/E00395/text
325,山下医科器械株式会社,5310001006118,,○ 回収：売上高615.55億円(2025年5月期・連結)。出典＝自社HPのIR「業績・財務情報」。同社は上場会社(証券コード3022)であり自らが親会社。§3-3により親会社は連結300億超でOK。1次が当たっていなかった経路＝自社HPのIR業績・財務情報／IR関連資料室(決算短信・事業報告書),https://www.yamashitaika.co.jp/ir/financial/; https://www.yamashitaika.co.jp/ir/library/; https://www.yamashitaika.co.jp/company/outline/
350,シャープマーケティングジャパン株式会社,1040001008905,,"○ 回収：3,655.43億円（2025年3月期・単体／官報決算公告）。加えてシャープ㈱有価証券報告書「関係会社の状況」で当社は『売上高（連結会社相互間の内部売上高を除く）の連結売上高に占める割合が100分の10を超える』＝主要な損益情報等の開示対象と明記。シャープ連結売上高1兆8,928.11億円（2026年3月期・決算短信）の10%超＝1,892億円超が承認ソース（有報）だけで確定し、決算公告値3,655.43億円とも整合。シャープの子会社だが単体で300億を大幅超過。1次が当たっていない経路＝親会社有報「関係会社の状況」／官報決算公告。",https://corporate.jp.sharp/ir/library/securities/ ; https://www.nikkei.com/nkd/disclosure/tdnr/20260429514125/ ; https://catr.jp/companies/6ffbd/12786 ; https://catr.jp/companies/6ffbd/12786/settlemen
351,ジャパンマリンユナイテッド株式会社,8020001076641,,"○ 回収：連結売上高3,980億円（2026年3月期・前期比22%増、2015年度の3,505億円を超え過去最高）。出典は海事プレス／日本海事新聞の決算記事で決算期と売上高を明記（RULES §3-4④の新聞社記事）。単体も第22期決算公告で3,684億円（+22.64%）と整合。親子いずれの扱いでも単体・連結とも300億を13倍前後上回る。1次が当たっていない経路＝業界紙（海事プレス／日本海事新聞）の決算記事、官報決算公告。",https://www.kaijipress.com/news/shipbuilding/2026/05/201340/ ; https://www.jmd.co.jp/article.php?no=315035 ; https://www.nikkei.com/article/DGXZQOUC087XD0Y6A500C2000000/ ; https://catr.jp/companies/59
373,株式会社クリエイト・レストランツ,2010701026019,,"○ 回収：547.77億円（54,777百万円／2026年2月期・IFRS「売上収益」・当社単体）。クリエイト・レストランツHDの有価証券報告書／決算資料に「株式会社クリエイト・レストランツは『しゃぶ菜』『MACCHA HOUSE 抹茶館』等のコアブランドを運営、当連結会計年度の売上収益54,777百万円、連結店舗数518店舗」と記載。CRHD連結売上収益1,654.49億円（2026年2月期）の約33%＝10%超のため有報「関係会社の状況」の主要な損益情報等の開示対象。518店舗×約1.06億円/店と単価も整合し、300億基準を1.8倍上回る。1次が当たっていない経路＝親会社有報「事業の内容",https://www.createrestaurants.com/ir/library/securities/ ; https://www.createrestaurants.com/ir/library/results/ ; https://www.createrestaurants.com/ir/finance/
396,株式会社バロー,8200001031520,,"○ 回収：バローHD 2026年3月期決算短信のスーパーマーケット（SM）事業セグメント営業収益5,407.61億円（前期比+11.9%）。SM事業の中核が㈱バローであり、同HD有価証券報告書「関係会社の状況」で㈱バローは特定子会社かつ『営業収益（連結会社相互間の内部営業収益を除く）が連結営業収益に占める割合が10%を超えている』と明記＝バローHD連結営業収益9,241億円（2026年3月期）の10%超＝924億円超が承認ソースのみで確定。子会社単体で300億基準を大幅超過。1次が当たっていない経路＝親会社決算短信のセグメント情報／有報「関係会社の状況」。",https://www.release.tdnet.info/inbs/140120260512526532.pdf ; https://valorholdings.co.jp/ir/library/ ; https://valorholdings.co.jp/news-ir/4353/ ; https://www.ryutsuu.biz/accounts/s051375.html
428,ヤマト・スタッフ・サプライ株式会社,7010401063729,,"○ 回収（反証層で再現確認・維持）：ヤマト・スタッフ・サプライ単体387.05億円（38,705百万円）。親会社(株)ワールドホールディングス第33期有報（2025/1/1〜2025/12/31）「関係会社の状況」に連結売上高10%超の子会社として売上高38,705百万円と記載されるのを独立再検索で再現（前期31,771百万円＝317.71億円も300億超）。承認ソース⑥。1次の279.18億円は2023年3月期・ヤマトHD傘下時代の旧値（2023年7月にワールドHDへ株式譲渡）。子会社単体で300億超を充足し反証できず○維持。",https://world-hd.co.jp/app/wp-content/uploads/2026/03/202603_Release.pdf; https://world-hd.co.jp/ir/financial-data/; https://www.yamato-hd.co.jp/news/2023/newsrelease_20230727_1.html; https://catr.jp/
433,株式会社ネクスティエレクトロニクス,4010401019485,,"○ 回収：ネクスティエレクトロニクス単体 5,362.58億円（536,258百万円、2026年3月期＝第52期、当期純利益149.35億円・前期比+9.79%）。同社は会社法440条1項に基づき自社HP「法定公告」ページで貸借対照表・損益計算書を公告しており（承認ソース①/⑤）、その官報決算公告の内容として上記単体売上高を確認。決算期は2026年3月31日決算と明示され直近期。豊田通商の子会社だが単体で300億を大幅超過（基準の約18倍）。1次が当たっていなかった経路＝⑤自社HP法定公告／官報決算公告。数値の一次表示はcatr.jp経由のため§7-1が否認された場合は自社法定公告ページの直読",https://www.nexty-ele.com/company/koukoku/; https://catr.jp/companies/0aa7c/19675/settlements/9e7a1/362135; https://catr.jp/companies/0aa7c/19675; https://www.nexty-ele.com/company/corporate-profile/
460,株式会社サンシャインシティ,5013301004663,,"○ 妥当（訂正：1次の「第56期」は誤り、正しくは第55期決算公告）：サンシャインシティ単体 356.51億円（2026年3月期）。反証層で官報決算公告の数表を独立に再現し、売上高356億5,100万円・営業利益67.41億円・経常利益59.94億円・当期純利益41.87億円・総資産1,161.28億円を確認。自社HP「財産及び損益の状況」の2025年度営業収益356.51億円と完全一致し、①自社HPと⑤官報決算公告の二重裏取りが成立。P/L最上段科目が営業収益であり§3-7の趣旨に沿い原文表記「営業収益」を注記して採用。三菱地所の子会社だが単体300億以上で子会社基準充足。",https://co.sunshinecity.co.jp/about/financial.html; https://catr.jp/companies/c0359/15650/settlements/9073c/206681; https://catr.jp/companies/c0359/15650; https://co.sunshinecity.co.jp/about/outline.h
547,富士急行株式会社,4090001009986,,○ 回収：2026年3月期 連結営業収益535.17億円（前期比+2.5%／営業利益87.61億円）。東証上場の親会社（コード9010）のため連結値で可。鉄道・運輸・レジャー業は売上高に相当する最上位科目が「営業収益」であり、RULES§3-7が銀行・保険の経常収益を認めるのと同趣旨で採用。出典＝自社IR決算短信・決算説明資料（自社ドメイン）。,https://www.fujikyu.co.jp/soumu/investors/pdf/2026-03kessantanshin.pdf;https://www.fujikyu.co.jp/soumu/investors/pdf/202603setsumei.pdf;https://www.fujikyu.co.jp/soumu/investors/ir.html
568,株式会社トキハインダストリー,8320001001949,,○ 回収：316億円（2024年2月期・単体）。日本経済新聞2025年10月21日「イオン九州、トキハインダストリーを買収 大分のスーパー」に決算期と売上高が明記（営業利益2.16億円・純資産17.8億円）＝§3-4の新聞社記事。食品新聞(shokuhin.net)も同内容を報道。子会社だが単体で300億超のため§3-3を満たす。※margin薄（316億／基準300億）。2025年3月のランサムウェア被害で2025年2月期決算が未確定、親会社トキハは2025年2月期最終赤字54億円・債務超過。2026年にイオン九州が完全子会社化。直近期で300億割れの可能性は残る。,https://www.nikkei.com/article/DGXZQOJC217UE0R21C25A0000000/;https://shokuhin.net/133357/2025/10/27/ryutu/kouri/;https://www.tokiwa-industry.co.jp/company/about.php
569,株式会社住友倉庫,7120001049002,,"○ 回収：1,962.44億円（2026年3月期・連結、前期比+1.5%）。2026年3月期決算短信は「売上高（営業収益）」として開示しており、物流業の売上高そのもの（LNEWS報道も「3月期の売上高1.5％増」と表記）。東証プライム上場の親会社（コード9303）のため連結値で可。1次は「営業収益＝売上高でない」として不採用としたが、住友倉庫の短信は売上高科目として計上しているため回収。",https://www.sumitomo-soko.co.jp/ir/;https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260327591810.pdf;https://www.lnews.jp/2026/05/s0512503.html
605,東海東京フィナンシャル・ホールディングス株式会社,1010001034202,,○ 回収：2026年3月期・連結・営業収益977.16億円（自社IR「連結決算情報」「決算短信」で確認）。1次は「営業収益は売上高ではない」として不採用にしたが誤り。証券持株会社は損益計算書の最上段が『営業収益』で、これが売上高に相当する（§3-7が銀行・保険の『経常収益』を採用と定めるのと同趣旨。有報「主要な経営指標等の推移」でも売上高欄に営業収益を記載）。利益指標ではない。東証プライム上場の持株会社であり§3-3により「ホールディングスはグループ連結300億円超で可」に該当。300億基準を3.3倍上回るため架電可。,https://www.tokaitokyo-fh.jp/investors/summary/performance/;https://www.tokaitokyo-fh.jp/investors/financial/statement/;https://www.tokaitokyo-fh.jp/investors/summary/highlight/;https://www.tokaitokyo
606,三井物産株式会社,1010001008767,,○ 回収：2026年3月期・連結・収益（IFRS）14.00兆円。自社IR「2026年3月期 決算短信〔IFRS〕（連結）」（2026年5月1日開示）で確認。1次は「収益は採用不可」として△にしたが誤り。§3-7が排除するのは『利益』であり、IFRSの『収益（Revenue）』は損益計算書の最上段＝売上高そのもので、同条の「IFRS等で売上収益表記なら売上高と同義として採用」に該当する。東証プライム上場（8031）の親会社で、300億基準の約466倍。原文表記は「収益」。架電可。,https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_ta.pdf;https://www.mitsui.com/jp/ja/ir/library/meeting/2026/index.html;https://www.mitsui.com/jp/ja/ir/library/meeting/index.html
624,株式会社シーエックスカーゴ,4030001042118,,○ 回収：487.67億円（第31期・2026年3月期・単体）。自社HP「企業情報＞財務データ」に第31期487.67億円／第30期（2025年3月期）495.51億円／第29期（2024年3月期）476.47億円が掲載。1次は自社HPのニュース記事しか見ておらず財務ページを見落としていた。コープデリ生協連系だが当社自身は株式会社で、単体売上が基準300億を超えるため架電可。,https://www.cx-cargo.co.jp/company/financial/;https://www.cx-cargo.co.jp/company/gaiyou-2/
636,株式会社日産フィナンシャルサービス,6040001013529,,"○ 回収：営業収益545.62億円（第77期・2024年4月1日〜2025年3月31日・単体）。同社はEDINET提出会社（E03736）で有価証券報告書・半期報告書を継続提出しており、自社HPにも「決算情報」ページがある。1次は電子公告とgBizINFOしか見ておらずEDINET／自社決算情報ページを見落としていた。日産子会社だが単体で基準300億を超過。※数値の桁は自社HP掲載の有報原本で最終確認推奨（英語要約に5,460億円と読める表記も混在）。",https://www.nissan-fs.co.jp/information/closing-of-accounts/index.html;https://www.nissan-fs.co.jp/information/closing-of-accounts/pdf/houkokusyo_2024.pdf;https://disclosure.edinet-fsa.go.jp/E01EW/BLM
641,大東魚類株式会社,2180001022115,,"○ 回収：337.97億円（2025年3月期・単体、前期比2%減／営業利益2.45億円・経常利益3.36億円・当期純利益2.51億円）。みなと新聞（みなと山口合同新聞社）および日刊水産経済新聞の決算記事で決算期と売上高が明記＝§3-4の新聞社ソース。2022年3月期357億円（14%増収）とも整合。名古屋市熱田区・法人番号2180001022115で同定（築地の大都魚類とは別法人）。1次の「取扱高42,869百万円」は指標が異なる。基準300億に対し余裕が小さい点に留意。",https://www.minato-yamaguchi.co.jp/minato/e-minato/articles/153244;https://www.suikei.co.jp/archives/55758;https://www.minato-yamaguchi.co.jp/minato/e-minato/articles/124913;https://www.nagoya-daitoh.
643,株式会社ロッテホールディングス,1011101023020,,"○ 回収：親会社／ホールディングスのため§3-3によりグループ連結で判定可。2025年3月期・連結売上高7兆7,204億円（前期比約7%増）、営業利益391億円、当期純損失1,626億円、有利子負債6兆5,859億円。日経会社情報DIGITAL（日本経済新聞社）およびダイヤモンド・オンラインの決算報道で決算期と売上高が明記。1次が退けた「約7.7兆円」は当法人の連結計算書類の値と特定できた。基準300億を大幅超過。",https://www.nikkei.com/nkd/company/?nik_code=0032344;https://diamond.jp/articles/-/367315;https://catr.jp/companies/2c03d/81182;https://lotte-hd.com/
644,日本農産工業株式会社,6020001015642,,"○ 回収：単体売上高1,727.86億円（2024年度＝2025年3月期・官報決算公告、前期比△5.86%、当期純利益47.96億円、総資産675.49億円）。gBizINFO（経済産業省＝§3-4の公的機関）に同社の決算公告財務諸表ページが存在し2023年度分を掲載。1次は自社HPの連結2,007億円しか見ておらず決算公告ルートを取り切れていなかった。三菱商事系子会社だが単体で基準300億を大幅超過。",https://info.gbiz.go.jp/hojin/financialstatement?kessanJohoId=08b73b06-c569-464f-9b15-2f90884ec2d3;https://catr.jp/companies/ca697/8513;https://catr.jp/settlements/dd0af/307950;https://www.nosan.co.jp
658,旭化成ホームズ株式会社,3011101001453,,"○ 妥当（G列訂正：採用値は単体でなく同社連結）：出典PDFの実在を確認＝旭化成ホームズ発行「2026年3月期決算補足資料」（2026年5月12日）に連結売上高1兆343億円。同社は旭化成の子会社のため§3-3では単体が要るが、旭化成有報第134期「関係会社の状況」に同社売上高が連結売上高の10%超と明記＝単体でも2,900億円超。建築請負4,416億も単体事業。単体基準でも300億を大幅超過し○で確定。G列には「連結」と明記のこと",https://www.asahi-kasei.co.jp/file.jsp?id=1034817;https://www.asahi-kasei.com/jp/ir/library/financial_report/pdf/134j_0625.pdf;https://www.asahi-kasei.co.jp/j-koho/company/performance/index.html/
659,株式会社トンボ,9260001022389,,"○ 妥当（反証を試みたが追認）：自社HP「トンボグループ連結決算」ページの実在と連結売上高461億8,500万円（2025年6月期）を独立に再現。会社概要のグループ従業員1,880人・資本金2億6,187万円と整合。宮城トンボ・福島トンボ等の販売会社を傘下に持つ親会社で上位に持株会社なし＝§3-3により連結値で判定可。決算期も直近3期内。○で確定",https://www.tombow.gr.jp/corporate/public_info.html;https://www.tombow.gr.jp/corporate/gaiyo.html
716,野村貿易株式会社,5120001074101,,○ 回収：G列＝808.93億円（2025年3月期・連結営業収益、前期比+5.71%）。EDINET提出の有価証券報告書 第49期（自2024/4/1至2025/3/31、2025年6月25日提出・E32448）で確認＝承認ソース§3-4②。自社HP財務状況ページにも連結財務諸表を掲載。当社は子会社8社・関連会社2社を擁する有報提出会社＝親会社であり（野村HD等の子会社ではない）、§3-3により連結値の採用可。1次が未踏だったEDINET経路（§5-3経路3）で回収,https://www.nomuratrading.co.jp/about/financial;https://irbank.net/E32448;https://www.nikkei.com/nkd/company/kessan/?nik_code=0036052;https://www.nomuratrading.co.jp/about/outline
728,三菱地所レジデンス株式会社,5010001034875,,"○ 回収：G列＝2,731.41億円（2024年3月期・単体営業収益）。三菱地所 第120期有価証券報告書（2023年度・自2023/4/1至2024/3/31）「関係会社の状況」で当社は連結営業収益の10%超に該当し、主要な損益情報等として営業収益273,141百万円を開示＝§5-3経路6・承認ソース§3-4②。三菱地所の子会社だが単体で300億を大幅超過し§3-3を満たす。2024年3月期は§3-8の直近3期内（2026/3期・2025/3期・2024/3期）",https://www.mec.co.jp/ir/library/2024/yuho2023.pdf;https://www.mec.co.jp/ir/library/yuho.html;https://www.mec-r.com/company/ir.html;https://www.mec-r.com/company/outline.html
742,セキスイハイム近畿株式会社,7120001125364,,"○ 回収：538億円（2024年度・単体）。自社HP会社概要に「売上高：ハイム538億円（2024年度）／グループ連結713億円（2024年度）」「従業員数：ハイム623名／グループ連結1,187名（2025年4月現在）」「資本金4億円・積水化学工業株式会社100%出資」と明記。積水化学の子会社だが単体（ハイム＝当社単体）538億円で300億超のため§3-3を満たす。承認ソース＝自社HP会社概要（§5-3経路1）。1次が当たっていなかった経路",https://www.816kinki.com/gaiyou;https://catr.jp/companies/47297/53752;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7120001125364
869,日清食品株式会社,7120001133929,,"○ 回収：日清食品ホールディングス有価証券報告書（第77期・2024年4月1日〜2025年3月31日）の「関係会社の状況」に、日清食品株式会社は特定子会社であり『売上収益（連結会社相互間の内部売上収益を除く）の連結売上収益に占める割合が10%を超えている』と明記。HD連結売上収益は2025年3月期7,690億円／2026年3月期7,881.31億円であり、単体売上収益は最低でも769億円超と承認ソース（有報）で確定。さらにHD公式IRのセグメント別業績で「日清食品」セグメント売上高2,388億円（2025年3月期・構成比33%）と整合。子会社単体ベースで300億基準を大幅に超過するため架電可に",https://media.www.nissin.com/jp/company/ir/library/security/pdf/ysh_2503_04.pdf ; https://www.nissin.com/jp/company/ir/library/security/ ; https://www.nissin.com/jp/company/ir/financial/segment/
895,明星食品株式会社,1011001022758,,○ 妥当（反証試行→維持・出典強化）：自社HP「決算公告」ページ https://www.myojofoods.co.jp/about/financial-statement/ の実在を再確認（承認ソース§5-3-5）。第76期は売上高535.66億円／売上総利益144.85億円／営業利益29.88億円／経常利益32.30億円／当期純利益23.48億円で内部整合（売上総利益144.85億を下回る53.56億という桁読みはあり得ず535.66億で確定）。決算公告は単体値。法人番号1011001022758はgBizINFOで一致。親会社日清食品HDの明星食品セグメント483.02億円（外部顧客売,https://www.myojofoods.co.jp/about/financial-statement/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1011001022758;https://www.nissin.com/jp/ir/financial/segment/;https://faq.myojofoods.co.jp/faq_
984,株式会社薬王堂,9400001003829,YES,"○ 妥当（G列訂正：1,638.8億円は薬王堂ホールディングス（7679）の2026年2月期『連結』売上高であり、株式会社薬王堂の単体値ではない。G列が単体表記なら連結に訂正）：HD決算短信で2026年2月期 連結売上高1,638.8億円（前期比+7.8%）・営業利益52.85億円・親会社株主帰属純利益40.28億円を再確認。薬王堂HDは株式移転による純粋持株会社で約400店のドラッグストア運営は当社が担うため単体でも300億を桁違いに超過し架電可否は○で維持。ただし1次が下限の根拠とした親会社有報『関係会社の状況』の90%超による主要な損益情報等省略の注記は、検索枠切れのため本層では再確認で",https://www.yakuodo.co.jp/company/about/; https://www.yakuodo.co.jp/wp-content/uploads/2026/04/%E6%B1%BA%E7%AE%97%E7%9F%AD%E4%BF%A1_2602-1.pdf; https://www.yakuodo-hd.co.jp/ir/library/earning/
