取引先 ID,法人番号,取引先名,Web サイト,売上（範囲）,アポインターメモ_検索用,,
001Nn00000eVVXR,3140001012993,株式会社合食,https://corp.goshoku.co.jp/company,"5: 300億円以上~1,000億円未満",,360.92億円（2026年3月期・単体）,○ みなと新聞2026/7/2「合食、売上高7％減/26年3月期」売上高360億9200万円 https://www.minato-yamaguchi.co.jp/minato/e-minato/articles/163557 ※自社HP会社概要・官報決算公告(BSのみ)には売上高記載なし
001Nn00000eVVXT,4120901008588,株式会社モリタ,https://japan.morita.com/company/profile/index.html,"5: 300億円以上~1,000億円未満",🔵MC:東京本社／人事総務部 03-3834-2801 / Mura Taka 人事総務部 部長 ｜ 🔵MC:東京本社／人事総務部 03-3834-2801 / Mura Taka 人事総務部 部長,"1,081.84億円（2026年3月期）","○ 自社HP会社概要「売上高 1,081億8,366万円（2026年3月末現在）」 https://japan.morita.com/company/profile/index.html ※法人番号4120901008588＝大阪府吹田市垂水町のJ.モリタ（歯科）で一致確認"
001Nn00000eVVXV,5010001008788,株式会社丸山製作所,https://www.maruyama.co.jp/company/outline.html,"5: 300億円以上~1,000億円未満",🔵MC:人事総務部／総務課 03-3252-2271,412.66億円（2025年9月期・連結）,"○ 決算短信（連結売上高41,266百万円＝412.66億円） https://www.maruyama.co.jp/assets/pdf/library/brief/20251114.pdf"
001Nn00000eVVXY,5080401003894,日星電気株式会社,https://www.nissei-el.co.jp/company/group/head_office/,"5: 300億円以上~1,000億円未満",,約460億円（2025年度）,○ 自社採用サイト「データで見る日星電気」売上高2025年度約460億円 https://www.nissei-el.co.jp/recruit/data/ ※自社HP会社概要には売上高記載なし。非上場でIR・EDINET掲載なし
001Nn00000eVVXZ,6010401016712,アボットジャパン合同会社,https://www.abbott.co.jp/about-abbott/profile.html,"5: 300億円以上~1,000億円未満",,対象外（合同会社）,× 法人格。直アポ大は株式会社のみ。合同会社のため対象外
001Nn00000eVVXc,7290001012769,株式会社翔薬,https://www.shoyaku.com/company/companyinfo/index.html,"6: 1,000億円以上",🔵MC:人事総務部 092-471-2201 / 宮道隆広 人事総務部長（総務部長）上席執行役員（旧直通:経営企画室：092-471-2308）,"1,970.68億円（2026年3月期・単体）","○ 官報決算公告(2026/6/23掲載)売上高1,970億6,800万円 https://catr.jp/companies/546e2/14488/settlements/52924/463953 ※スズケン100%子会社だが単体で300億超。自社HP・スズケン有報には売上高記載なし"
001Nn00000eVVXe,1010001034994,日本パーカライジング株式会社,https://www.parker.co.jp/ja/corporate/outline.html,"5: 300億円以上~1,000億円未満",システム　人事,"1,381.55億円（2026年3月期・連結）","○ 有価証券報告書第141期 連結売上高138,155百万円（単体45,776百万円） https://www.parker.co.jp/ja/_pdf/topics/5550697398ab6f5a4e6d4970ccd44a06e9dc94c4.pdf"
001Nn00000eVVXf,7500001014710,ユニ・チャームプロダクツ株式会社,https://www.unicharmproducts.co.jp/,"6: 1,000億円以上",🔵MC:人事総務部／Ｃａｒｅｅｒ形成支援グループ 0875-52-2211,"2,568.87億円（2025年12月期・単体）","○ 自社HP決算公告 第53期損益計算書 売上高256,886,573千円 https://www.unicharmproducts.co.jp/kessan/__icsFiles/afieldfile/2026/03/26/kessan53.pdf ※ユニ・チャーム100%子会社だが単体で300億超"
001Nn00000eVVXi,5190001014736,株式会社グリーンズ,https://www.kk-greens.jp/,"5: 300億円以上~1,000億円未満",,539.98億円（2026年6月期・連結）,"○ 決算短信（連結売上高53,998百万円） https://ssl4.eir-parts.net/doc/6547/tdnet/2871952/00.pdf ※自社IRライブラリ掲載のTDnet決算短信"
001Nn00000eVVXj,6010701026130,東罐興業株式会社,https://www.tokan.co.jp/company/domestic/headoffice/,"5: 300億円以上~1,000億円未満",,670億円（2026年3月期）,○ 自社HP会社概要「売上高 670億円(2026年3月期)」 https://www.tokan.co.jp/company/outline/ ※東洋製罐グループHD子会社だが単体で300億超
001Nn00000eVVXk,3120101026862,株式会社近商ストア,https://www.kinshostore.co.jp/company/overview/,"5: 300億円以上~1,000億円未満",6/29シモムラソウノスケ,581億円（2024年度＝2025年3月期）,○ 自社HP会社概要「売上高 2024年度実績：581億円」 https://www.kinshostore.co.jp/company/overview/ ※近鉄リテールHD100%子会社だが単体で300億超
001Nn00000eVVXr,1010001092605,ヤマト運輸株式会社,https://www.kuronekoyamato.co.jp/ytc/info/info_210818.html,"6: 1,000億円以上",,"16,775.34億円（2026年3月期・単体）","○ 自社HP電子公告 第22期決算公告 損益計算書 営業収益1,677,534百万円 https://www.kuronekoyamato.co.jp/ytc/corp/corporate/pdf/kessan_koukoku_202603.pdf ※運送業のため営業収益。ヤマトHD子会社だが単体で300億超"
001Nn00000eVVaw,1010401021766,株式会社ニッショク,http://www.nisshoku.com/about/,"5: 300億円以上~1,000億円未満",,505.52億円（2025年3月期）,○ 自社HP会社概要「年間売上高 505億52百万円（2025年3月期）」 http://www.nisshoku.com/about/
001Nn00000eVVcg,8010401054826,日本甜菜製糖株式会社,https://www.nitten.co.jp/,"5: 300億円以上~1,000億円未満",シモムラソウノスケ　7/16,686.96億円（2026年3月期・連結）,"○ 決算短信（連結売上高68,696百万円） https://www.nitten.co.jp/dcms_media/other/2026-4Q_Financial_Results.pdf"
001Nn00000eVVci,2290001041302,株式会社リョーユーパン,https://www.ryoyupan.co.jp/about/group/,"5: 300億円以上~1,000億円未満",,474億円（2026年3月期・グループ連結）,○ 自社HP会社概要「年商474億円（2026年3月期 グループ連結）」 https://www.ryoyupan.co.jp/about/ ※同社はリョーユーパングループの親会社のため連結値で判定
001Nn00000eVVjy,4010001102162,株式会社デジタルホールディングス,https://digital-holdings.co.jp/company/outline,"5: 300億円以上~1,000億円未満",,【300億未満】131.02億円（2025年12月期・連結）,"× 300億未満。最新の収益認識基準による連結収益13,102百万円＝131.02億円。旧基準では616.46億円（売上高61,646百万円）。博報堂DYHDの100%子会社。2025年12月期決算短信で検算一致確認済み https://www.digital-holdings.co.jp/files/topics/5586.pdf"
001Nn00000eVVlk,2010401092245,日本マイクロソフト株式会社,https://www.microsoft.com/ja-jp/mscorp/branch/sgt,"5: 300億円以上~1,000億円未満",イワマシリュウ_2026/08/06,1兆223億円（2023年6月期・単体）,○ 非上場のため官報の決算公告のみ。日経クロステック（日経BP）が官報決算公告に基づき2023年6月期（2022年7月～2023年6月）売上高1兆223億円と報道（原文確認済み） https://xtech.nikkei.com/atcl/nxt/column/18/00848/00119/
001Nn00000eVVly,4012401007544,キユーピータマゴ株式会社,https://www.kewpie-egg.co.jp/company/offices.html,"5: 300億円以上~1,000億円未満",,"1,287.50億円（2025年11月期・単体）","○ 親会社キユーピー第113期有価証券報告書「関係会社の状況」注3の主要な損益情報等（売上高128,750百万円） https://www.kewpie.com/ir/pdf/annual_report/2026/ir_20260224_113_yuho.pdf"
001Nn00000eVVlz,2180001104978,ポッカサッポロフード＆ビバレッジ株式会社,http://www.pokkasapporo-fb.jp,"5: 300億円以上~1,000億円未満",,585.16億円（2025年12月期・単体）,"○ 親会社サッポロHD第102期有価証券報告書「関係会社の状況」注9の主要な損益情報等（日本基準・売上高58,516百万円） https://pdf.irpocket.com/C2501/rJAn/y4GQ/W9UW.pdf"
001Nn00000eVVm1,5010901028646,株式会社成城石井,https://www.seijoishii.co.jp/,"5: 300億円以上~1,000億円未満",,"1,125.44億円（2024年2月期・単体）","○ 親会社ローソン第49期有価証券報告書「関係会社の状況」注8の主要な損益情報等（IFRS・営業収益112,544百万円）。ローソンは2024年上場廃止のため以降の有報なし https://www.lawson.co.jp/company/ir/library/pdf/yuuka/yuuka_49.pdf"
001Nn00000eVVm3,4010001074187,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,https://buysell-technologies.com/,"5: 300億円以上~1,000億円未満",,"1,006.14億円（2025年12月期・連結）","○ 2025年12月期決算短信（連結売上高100,614百万円） https://ssl4.eir-parts.net/doc/7685/tdnet/2761345/00.pdf"
001Nn00000eVVm4,3470001004116,株式会社ヤマウチ,https://y-grp.com/company/profile/,"5: 300億円以上~1,000億円未満",◆08/17(月)、定時00:00、11:30,531億円（2026年3月期・グループ）,○ 自社HP会社概要「売上高531億円（2026年3月期）※ヤマウチグループ」で確認済み。登録番号T3470001004116で法人番号一致。同社は複数子会社を持つヤマウチグループの親会社 https://y-grp.com/company/profile/
001Nn00000eVVmA,2190001015290,株式会社扇港電機,http://www.senko-grp.co.jp,"5: 300億円以上~1,000億円未満",,"1,229億円（2025年度・2社連結）","○ 自社HP「数字で見る扇港」で確認済み。売上高1,229億円（2025年度実績・(株)扇港電機＋(株)ネスコの2社連結）。扇港電機はネスコの親会社（ネスコ社長が扇港電機取締役） https://www.senko-grp.co.jp/business.html#Numbers"
001Nn00000eVVmB,8010001008810,株式会社リョーサン,https://www.ryosan.co.jp/company/outline.html,"6: 1,000億円以上",🔵MC:人事部 03-3862-4335（旧直通:044-989-7030　情報システム）,"1,450.39億円（2026年3月期・単体）","○ 親会社リョーサン菱洋HD 2026年3月期有価証券報告書「関係会社の状況」注7（単体売上高145,039百万円）。2026年4月1日に菱洋エレクトロを吸収合併しリョーサン菱洋(株)へ商号変更 https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100YHJV.pdf"
001Nn00000eVVmC,9120001044397,杉本商事株式会社,http://www.sugi-net.co.jp/,"5: 300億円以上~1,000億円未満",,486.11億円（2026年3月期・連結）,"○ 自社HP IR財務指標（第101期2026年3月期・連結売上高48,611百万円） https://www.sugi-net.co.jp/for_investors/financial_indicator.html"
001Nn00000eVVmK,8060001019712,株式会社キリウ,http://www.kiriu.co.jp,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP会社概要で確認済み、連結834億円のみで単体売上高は非公表（単独従業員499名／連結5,965名）。沿革に住友商事による子会社化の記載があり、子会社単体で300億以上か判定不可。親会社住友商事IR・官報決算公告も確認できず https://www.kiriu.co.jp/company/profile/"
001Nn00000eVVmL,2330001009393,合志技研工業株式会社,https://www.goshigiken.com/,"5: 300億円以上~1,000億円未満",🔵MC:事業管理部／総務課／人事労政係 096-248-2431,【300億未満】164.69億円（2026年3月期・単体）,"× 子会社。本田技研工業95%出資の子会社で、第53期決算公告の単体損益計算書の売上高16,468,582千円＝164.69億円（連結72,341,707千円＝723.42億円）を原本PDFで検算一致確認済み。出典 https://www.goshigiken.com/pdf/kessan/53_kessan_ja.pdf"
001Nn00000eVVmP,6040001027017,東洋合成工業株式会社,https://www.toyogosei.co.jp/company/base.html,"5: 300億円以上~1,000億円未満",,419.56億円（2026年3月期・単体）,"○ 2026年3月期決算短信〔日本基準〕(非連結)（売上高41,956百万円） https://www.toyogosei.co.jp/news/20260508_FY2025financial_results.pdf"
001Nn00000eVVmU,8010401024011,株式会社博報堂,https://www.hakuhodo.co.jp/about/access/,"6: 1,000億円以上",,"3,767.28億円（2026年3月期・単体）","○ 親会社博報堂DYHD 2026年3月期有価証券報告書「関係会社の状況」注4（㈱博報堂の収益376,728百万円）。収益認識基準適用のため科目は「収益」表記 https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100YHXU.pdf"
001Nn00000eVVmX,6120001045084,ダイダン株式会社,https://www.daidan.co.jp/company/overview/,"6: 1,000億円以上",,"2,562.28億円（2026年3月期・連結）","○ 2026年3月期決算短信（連結売上高256,228百万円） https://www.daidan.co.jp/wp/wp-content/uploads/2026/05/a687a801b4ae9de13699fe6845246e3c.pdf"
001Nn00000eVVmY,5011501002891,日本リーテック株式会社,https://www.j-rietec.co.jp/company/office/,"5: 300億円以上~1,000億円未満",,740億円（2026年3月期・連結）,○ 自社HP会社概要 https://www.j-rietec.co.jp/company/outline/ に「年商 657億円〔連結：740億円〕（2026年3月期）」と記載。東証プライム上場の親会社のため連結を採用。単体657億円でも300億超
001Nn00000eVVma,5020001018027,千代田エクスワンエンジニアリング株式会社,https://www.cks-ykh.co.jp,"5: 300億円以上~1,000億円未満",,937.47億円（2026年3月期・単体）,"○ 親会社・千代田化工建設の有価証券報告書 第98期「関係会社の状況」注2に当社の主要な損益情報等として売上高93,747百万円と記載。EDINET https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100YEDH.pdf （8頁）"
001Nn00000eVVmd,9010601041061,セイノースーパーエクスプレス株式会社,https://www.seino.co.jp/ssx/company/about/,"5: 300億円以上~1,000億円未満",,確認不可,△ 確認不可。自社HP会社概要・自社電子公告の第98期決算公告（貸借対照表のみ。注記の関係会社取引高52億円は総売上高ではない）・EDINET・親会社セイノーHD有報の関係会社の状況（10%超は西濃運輸等3社のみで当社は非開示）・決算説明会資料・採用「数字で見る」まで確認したが単体売上高の記載なし
001Nn00000eVVpM,6010601036386,アサヒグループホールディングス株式会社,https://www.asahigroup-holdings.com/company/profile/,"6: 1,000億円以上",,"2兆8,946.76億円（2025年12月期・連結）","○ 有価証券報告書 第102期「主要な経営指標等の推移」の連結売上収益2,894,676百万円。IFRSのため原文表記は「売上収益」。EDINET https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100YSGA.pdf （2頁）"
001Nn00000eVVsK,3010401119377,株式会社クレストレード,http://www.crestrade.co.jp/,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP・EDINET・官報決算公告（記録なし）・親会社の株式会社西原商会HP（グループ連結1,390億円/2026年2月期の記載のみで子会社別内訳なし。西原商会も非上場でIRなし）・gBizINFOまで確認したが単体売上高の記載なし。禁止ソースのみ"
001Nn00000eVVuD,6011101016060,ニュースキンジャパン株式会社,https://www.nuskin.com/markets/ja_JP/home.html,"5: 300億円以上~1,000億円未満",／,【300億未満】260.80億円（2025年12月期・単体）,"× 300億未満（260.80億円）。親会社Nu Skin Enterprisesの2025年次報告書のセグメント情報でJapanの売上高174,364千米ドル https://www.sec.gov/Archives/edgar/data/1021561/000114036126013156/ef20069502_ars.pdf （60頁）。業界紙・訪販ニュースも同期の日本売上を260億8,011万円（前期比5.1%減）と報道"
001Nn00000eVVuv,3130001000082,アイフル株式会社,https://www.aiful.co.jp/group/corporate/about.html,"6: 1,000億円以上",,"2,146.93億円（2026年3月期・連結）","○ 2026年3月期決算短信〔日本基準〕（連結）の営業収益214,693百万円 https://www.aiful.co.jp/group/ir/pdf/FR202603.pdf 。貸金業のため科目は営業収益。2026年4月にムニノバHDの完全子会社となり上場廃止だが、アイフル自身の数値で300億超"
001Nn00000eVVuz,3010801000723,アルプスアルパイン株式会社,https://www.alpsalpine.com/j/company/net-japan/,"6: 1,000億円以上",🌳★08/17(月)、定時00:00、🔵🌑✳✡👤情シス/DX,1兆194.59億円（2026年3月期・連結）,"○ 有価証券報告書 第93期「主要な経営指標等の推移」の連結売上高1,019,459百万円。EDINET https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100YB8V.pdf （2頁）"
001Nn00000eVVv1,2010401054443,シンフォニアテクノロジー株式会社,https://www.sinfo-t.jp/company/,"5: 300億円以上~1,000億円未満",★08/24(月)、定時17:30、🔵🌑✳✡👤経理👤経企,"1,281.97億円（2026年3月期・連結）","○ 2026年3月期決算短信〔日本基準〕（連結）の売上高128,197百万円 https://www.sinfo-t.jp/application/files/3417/7873/4198/20260514.pdf （1頁）"
001Nn00000eVVv6,2010901010581,株式会社不二工機,https://www.fujikoki.co.jp/company/network_japan/,"5: 300億円以上~1,000億円未満",,457.14億円（2026年3月期・単体）,○ 自社HP会社概要 https://www.fujikoki.co.jp/company/about/ に「売上高 457億14百万円（2026年3月期・単体）」と記載。東証プライム上場の親会社であり連結はさらに大きい
001Nn00000eVVvC,4010801012908,ワタミ株式会社,https://www.watami.co.jp/corporate/summary/,"5: 300億円以上~1,000億円未満",コジマコウガ,932.60億円（2026年3月期・連結）,○ 2026年3月期決算説明会資料「グループ業績：2026年3月期実績」の売上高932.6億円 https://www.watami.co.jp/assets/pdf/ir/202603.pdf （3頁）
001Nn00000eVVvG,1011701002852,株式会社江東微生物研究所,https://www.koutou-biken.co.jp/about/company-profile/,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP会社概要（資本金5,000万円・従業員1,080名のみ記載）・EDINET（提出なし）・官報決算公告（記録なし）・gBizINFO（財務欄・決算欄とも空）・自社ドメイン内の採用ページまで確認したが売上高の記載なし。禁止ソース（求人・口コミ系）のみ"
001Nn00000eVVvR,3010001133877,ＥＮＥＯＳ　Ｘｐｌｏｒａ株式会社,https://www.eneos-xplora.com/corporate/outline.html,"6: 1,000億円以上",／🌟🚨 総務部/部長/平田　浩旨/※1 経理部/部長/中谷　慎一/※1,361.02億円（2026年3月期・単体）,"○ 自社HP電子公告の第36期（2026年3月期）決算公告・損益計算書の売上高36,102百万円 https://www.eneos-xplora.com/pdf/noex_36.pdf 。ENEOSホールディングスの子会社だが単体で300億超。SF登録の「1,000億以上」は過大"
001Nn00000eVVvW,9010001087242,富士電機ＩＴソリューション株式会社,https://www.fujielectric.co.jp/fsl/information/corporate_profile/,"5: 300億円以上~1,000億円未満",オガタユウ_2026/07/17,"1,340.61億円（2026年3月期・単体）","○ 自社HP会社概要 https://www.fujielectric.co.jp/fsl/information/corporate_profile/ に「売上高 1340億円（2025年度）」と記載。官報の2026年3月期決算公告の売上高1,340億6,100万円とも一致。富士電機の子会社だが単体で300億超"
001Nn00000eVVwZ,1370001021305,株式会社カツヨシ商事,https://meruhengrp.jp/company/,"5: 300億円以上~1,000億円未満",,確認不可,△ 確認不可。自社HP会社情報（資本金700万円・従業員480名のみ）・EDINET（提出なし）・官報の第39期決算公告（令和8年8月6日号外第177号p.88。貸借対照表のみで損益計算書なし）・gBizINFO・親会社カツヨシHD（非上場・IRなし）まで確認したが売上高の記載なし
001Nn00000eVVwb,1240001016937,株式会社エネルギア・ソリューション・アンド・サービス,https://www.e-ess.co.jp/,"5: 300億円以上~1,000億円未満",,713.44億円（2026年3月期・単体）,"○ 自社HP電子公告の決算公告(単体) https://www.e-ess.co.jp/assets/pdf/corporate/2025nendo.pdf 損益計算書の売上高71,344,061千円=713.44億円。中国電力100%出資の子会社だが子会社単体で300億超"
001Nn00000eVVws,7130001024920,オムロンヘルスケア株式会社,http://www.healthcare.omron.co.jp/,"6: 1,000億円以上",7/13シモムラソウノスケ　☆V 07/09〈木〉、定時00:00、🌟🚨🔵🌑✳✡/🌱/🌱,845.19億円（2025年3月期・単体）,○ 官報決算公告(2025年6月23日掲載・単体) https://catr.jp/companies/0f812/11019/settlements/2f389/410086 オムロンの子会社だが単体845.19億円。自社HP会社概要はbot遮断で参照不可・親会社IRは事業セグメント値のみ
001Nn00000eVVwv,2380001010248,白河オリンパス株式会社,https://www.shirakawa.olympus.co.jp/company/outline/,"5: 300億円以上~1,000億円未満",／,確認不可,△ 確認不可。自社HP会社概要/採用・官報決算公告(貸借対照表のみで売上高欄なし)・親会社オリンパス有報の関係会社の状況(10%超の子会社のみ開示で当社は対象外)まで確認したが売上高の記載なし。福島県運営の就職支援サイトに572億円の記載があるが承認ソース外
001Nn00000eVVww,3230001005030,陽進堂ホールディングス株式会社,https://www.yoshindoholdings.jp/company_profile,"5: 300億円以上~1,000億円未満",,536.05億円（2025年3月期・連結）,"○ 自社HP財務情報の業績ハイライト(連結) https://yoshindoholdings.co.jp/company/financial_info 53,605百万円=536.05億円。持株会社のため連結で判定。※リストのyoshindoholdings.jpはDNS不能、正しくは.co.jp"
001Nn00000eVVwy,3120001087781,ニプロファーマ株式会社,https://www.np.nipro-pharma.co.jp/page/map-company.php,"5: 300億円以上~1,000億円未満",,"1,054.01億円（2026年3月期・単体）","○ 官報決算公告(2026年6月23日掲載・単体) https://catr.jp/companies/b0d12/14522/settlements/e08ab/463946 ニプロの子会社だが単体1,054.01億円。自社HP会社概要とニプロ有報には売上高の記載なし"
001Nn00000eVVwz,9080401001457,株式会社杏林堂薬局,https://www.kyorindo.co.jp/,"5: 300億円以上~1,000億円未満",,"1,385.69億円（2026年2月期・単体）","○ 官報決算公告(2026年5月26日掲載・単体) https://catr.jp/companies/b13fb/29967/settlements/517cd/456557 ツルハHDの子会社だが単体1,385.69億円。決算期はツルハに合わせ5月15日から2月末に変更済"
001Nn00000eVVx3,9050001011652,タカノフーズ株式会社,https://www.takanofoods.co.jp/company/corporate/outline/,"5: 300億円以上~1,000億円未満",,990.03億円（2024年3月期・単体）,○ 官報決算公告(2024年12月27日掲載・単体) https://catr.jp/companies/d78a6/148299/settlements/5817a/387753 自社HP会社概要に売上高の記載なし。2025年3月期以降の決算公告は未掲載のため2024年3月期が最新
001Nn00000eVVx5,5010001122630,株式会社宗家源吉兆庵,https://www.kitchoan.co.jp/about/profile/,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP会社概要(資本金4,500万円・店舗数のみ) https://www.kitchoan.co.jp/about/profile/ ・自社採用ページ・官報決算公告(2018年2月期の1件のみで売上高欄なし)まで確認したが売上高の記載なし"
001Nn00000eVVxJ,8030001061642,たまご＆カンパニー株式会社,https://www.tandc.inc/company/co_profile/,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP会社概要(資本金2,000万円・従業員145名のみ) https://www.tandc.inc/company/co_profile/ ・自社会社案内PDF・官報決算公告(掲載なし)まで確認したが売上高の記載なし。旧イセ食品で2025年3月に更生手続終結"
001Nn00000eVVxs,2130001022029,ニチコン株式会社,http://www.nichicon.co.jp/company/com_network01.html,"6: 1,000億円以上",,"1,697.24億円（2026年3月期・連結）","○ 自社HP会社概要 https://www.nichicon.co.jp/company/about/summary/ 売上高169,724百万円=1,697.24億円(2026年3月期 連結)。東証プライム上場"
001Nn00000eVVyu,1010401063932,株式会社ヴァティー,http://www.vati.co.jp/company/,"5: 300億円以上~1,000億円未満",／,確認不可,"△ 確認不可。自社HP会社概要(資本金1,000万円・従業員3,460名のみ) https://www.vati.co.jp/vati/company.htm ・官報決算公告(2026年2月期まで9期分あるが全て貸借対照表のみで売上高欄なし)まで確認したが売上高の記載なし"
001Nn00000eVVyv,1010001095640,第一三共株式会社,http://www.daiichisankyo.co.jp/,"6: 1,000億円以上",,"21,230.45億円（2026年3月期・連結）","○ 決算短信〔IFRS〕(連結) https://www.daiichisankyo.co.jp/files/investors/library/quarterly_result/2025/FY2025Q4_Financial_Results_J.pdf 2,123,045百万円=21,230.45億円。IFRSのため原文表記は「売上収益」"
